,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,11.46,-0.26,1.57,86.098,0.0,False,,,1,,short ball over leg stump. Porterfield ducks under it.
1,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,8.35,-0.22,1.22,86.751,0.0,False,,,0,,"back of a length, a bit of swing into the batsman to tuck him up, hits him on the thigh pad as he looks to work it into the leg side"
2,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.3,0.0,0.0,0.0,242.0,184.0,3.0,-0.10,8.89,0.28,1.18,85.298,0.0,False,,,1,,"back of a length, angling across, gets on his toes to defend into the off side"
3,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.4,4.0,4.0,0.0,250.0,18.0,1.0,0.17,8.38,0.91,1.15,88.116,4.0,False,,,0,,"short and wide, it was there to be hit, and Porterfield slashed hard and sent it flying over the slips off the outside edge"
4,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,8.81,0.28,1.07,89.044,4.0,False,,,1,,"back of a length, close to off stump with a bit of shape in, Porterfield leaves well"
5,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,0.6,0.0,1.0,1.0,148.0,117.0,8.0,-0.22,4.97,-0.27,0.53,-2.237,5.0,False,,,0,Lb,"full, swinging down leg. Looks to flick, can only send it rolling towards leg gully off his front pad"
6,1,Ireland,India,24611,481896,William Porterfield,Paul Stirling,Mohammed Shami,n,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,7.37,0.48,0.94,86.170,5.0,False,,,1,,"length ball, angling away from off stump, left alone"
7,1,Ireland,India,24611,481896,William Porterfield,Paul Stirling,Mohammed Shami,n,1.2,0.0,0.0,0.0,220.0,189.0,3.0,-0.18,8.63,0.21,1.13,84.052,5.0,False,,,1,,"back of a length on off stump, defended to short cover"
8,1,Ireland,India,24611,481896,William Porterfield,Paul Stirling,Mohammed Shami,n,1.3,1.0,1.0,0.0,112.0,205.0,6.0,-0.19,5.99,0.02,0.71,82.551,6.0,False,,,1,,"full on middle and off, clipped away through midwicket"
9,1,Ireland,India,303427,481896,Paul Stirling,William Porterfield,Mohammed Shami,y,1.4,0.0,0.0,0.0,244.0,195.0,3.0,-0.29,7.99,-0.10,0.87,88.765,6.0,False,,,1,,"back of a length on off stump, blocked to short midwicket"
10,1,Ireland,India,303427,481896,Paul Stirling,William Porterfield,Mohammed Shami,y,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.04,7.43,0.79,0.93,82.984,7.0,False,,,1,Wd,"full, speared a long way down the leg side, and Dhoni dives to his left to collect one-gloved"
11,1,Ireland,India,303427,481896,Paul Stirling,William Porterfield,Mohammed Shami,y,1.5,0.0,1.0,1.0,0.0,0.0,0.0,-0.15,7.84,0.48,1.00,82.824,8.0,False,,,0,Wd,and again. Dhoni makes an optimistic appeal for caught behind. Don't think Stirling's bat was anywhere close to connecting with that speculative flick
12,1,Ireland,India,303427,481896,Paul Stirling,William Porterfield,Mohammed Shami,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,5.31,-0.81,0.72,85.813,8.0,False,,,0,,"ball. Fullish outside off, not quite driving length, and it swings away to beat Stirling's flashing bat, and swings even more after going past the edge"
13,1,Ireland,India,303427,481896,Paul Stirling,William Porterfield,Mohammed Shami,y,1.6,0.0,0.0,0.0,130.0,190.0,6.0,-0.43,6.16,-0.44,0.77,84.493,8.0,False,,,1,,"length ball outside off, blocked into the covers"
14,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,6.60,-0.30,0.79,87.434,8.0,False,,,0,,length ball swinging down leg. Looks to nudge it away into the leg side but can only get a tickle of his pad on it
15,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,2.2,6.0,6.0,0.0,8.0,188.0,6.0,0.00,11.37,0.54,1.69,81.798,14.0,False,,,1,,"wow. That's a super hook. Umesh bent his back on that short ball, it was angling away from him, but he picked the length up very quickly and swivelled to send it soaring over the square leg boundary"
16,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,2.3,4.0,4.0,0.0,232.0,351.0,4.0,0.12,4.24,0.32,0.57,86.110,18.0,False,,,1,,"this is excellent stuff from Porterfield. The next one's fuller, outside off, and he leans on it and sends it running away for four more, between the non-striker and mid-off"
17,1,Ireland,India,24611,376116,William Porterfield,Paul Stirling,Umesh Yadav,n,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06,7.11,0.42,0.94,86.041,18.0,False,,,1,,"back of a length angling away from off stump, left alone"
