,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,United Arab Emirates,India,39745,326016,Amjad Ali,Andri Raffaelo,Bhuvneshwar Kumar,n,0.1,0.0,2.0,2.0,0.0,0.0,0.0,-0.50,6.91,-0.67,1.05,83.498,2.0,False,,,1,Wd
1,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.1,0.0,0.0,0.0,115.0,202.0,6.0,-0.42,4.61,-0.16,0.60,83.198,2.0,False,,,1,
2,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.2,0.0,0.0,0.0,109.0,175.0,6.0,-0.53,4.67,-0.36,0.56,83.298,2.0,False,,,1,
3,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,5.49,-0.65,0.75,81.798,2.0,False,,,1,
4,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,5.71,-0.55,0.73,81.098,2.0,False,,,1,
5,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,6.00,-0.42,0.82,78.398,2.0,False,,,1,
6,1,United Arab Emirates,India,384817,326016,Andri Berenger,Amjad Ali,Bhuvneshwar Kumar,y,0.6,4.0,4.0,0.0,19.0,123.0,7.0,-0.58,5.59,-0.74,0.68,80.898,6.0,False,,,0,
7,1,United Arab Emirates,India,39745,376116,Amjad Ali,Andri Raffaelo,Umesh Yadav,n,1.1,1.0,1.0,0.0,99.0,155.0,7.0,-0.10,11.08,0.17,1.68,86.798,7.0,False,,,0,
8,1,United Arab Emirates,India,384817,376116,Andri Berenger,Amjad Ali,Umesh Yadav,y,1.2,0.0,0.0,0.0,168.0,200.0,5.0,-0.37,8.39,-0.50,1.10,88.922,7.0,False,,,0,
9,1,United Arab Emirates,India,384817,376116,Andri Berenger,Amjad Ali,Umesh Yadav,y,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,7.32,-0.39,0.97,86.498,7.0,False,,,0,
10,1,United Arab Emirates,India,384817,376116,Andri Berenger,Amjad Ali,Umesh Yadav,y,1.4,0.0,0.0,0.0,200.0,142.0,1.0,-0.28,10.53,-0.12,1.57,84.498,7.0,True,caught,384817,0,
11,1,United Arab Emirates,India,290645,376116,Krishna Chandran,Amjad Ali,Umesh Yadav,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,7.86,-0.43,0.95,88.539,7.0,False,,,0,
12,1,United Arab Emirates,India,290645,376116,Krishna Chandran,Amjad Ali,Umesh Yadav,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,5.88,-0.34,0.70,89.893,7.0,False,,,0,
13,1,United Arab Emirates,India,39745,326016,Amjad Ali,Krishna Karate,Bhuvneshwar Kumar,n,2.1,1.0,1.0,0.0,92.0,156.0,7.0,-0.02,5.92,0.02,0.76,81.998,8.0,False,,,0,
14,1,United Arab Emirates,India,290645,326016,Krishna Chandran,Amjad Ali,Bhuvneshwar Kumar,y,2.2,0.0,1.0,1.0,100.0,168.0,6.0,-0.17,5.77,-0.09,0.74,82.098,9.0,False,,,0,Lb
15,1,United Arab Emirates,India,39745,326016,Amjad Ali,Krishna Karate,Bhuvneshwar Kumar,n,2.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9.0,False,,,0,
16,1,United Arab Emirates,India,39745,326016,Amjad Ali,Krishna Karate,Bhuvneshwar Kumar,n,2.4,1.0,1.0,0.0,125.0,126.0,7.0,,,,,,10.0,False,,,0,
17,1,United Arab Emirates,India,290645,326016,Krishna Chandran,Amjad Ali,Bhuvneshwar Kumar,y,2.5,0.0,1.0,1.0,234.0,125.0,2.0,-0.32,11.61,-0.07,1.74,77.498,11.0,False,,,0,Lb
