,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,0.1,0.0,0.0,0.0,206.0,196.0,4.0,-0.09,7.57,0.33,0.91,81.498,0.0,False,,,1,,"a hint of away movement, which Warner negotiates well by getting back and across on off stump. Safely defended"
1,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,0.2,0.0,0.0,0.0,136.0,187.0,6.0,-0.23,9.32,0.22,1.13,81.498,0.0,False,,,1,,"a little shortish, but in the corridor again. Warner gets in line and defends with far softer hands than he's known for"
2,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,0.3,1.0,1.0,0.0,253.0,237.0,3.0,-0.14,8.33,0.47,1.10,82.974,1.0,False,,,1,,opens the face when he meets the back of a length ball and pushes it through extra cover. Neatly done
3,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,8.01,-0.57,1.06,81.314,1.0,False,,,0,,"beaut! That's the Anderson special, hammers into the uncertain length where the batsmen doesn't know if he wants to go forward or back. Finch is stuck in the crease and wafts outside off. Handsomely beaten"
4,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,0.5,2.0,2.0,0.0,311.0,182.0,3.0,,,,,,3.0,False,,,0,,"<b>dropped</b> by Woakes, was it? Was he the man at midwicket? Yep. It was the inswinger, slid in full and on middle, Finch goes for a flick and forgets to keep it down. Woakes leaps up and has to get the reverse cups going over his head, and fluffs it! That was simple, by international standards"
5,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,0.6,0.0,0.0,0.0,148.0,250.0,5.0,-0.41,8.56,-0.59,1.20,81.198,3.0,False,,,1,,"shortish and outside off, belted to mid-off as Finch moves deep in his crease"
6,1,Australia,England,219889,10617,David Warner,Aaron Finch,Stuart Broad,n,1.1,0.0,0.0,0.0,230.0,217.0,4.0,-0.05,7.92,0.39,0.92,87.598,3.0,False,,,1,,"back of a length and outside off, tapped towards mid-off"
7,1,Australia,England,219889,10617,David Warner,Aaron Finch,Stuart Broad,n,1.2,1.0,1.0,0.0,153.0,19.0,8.0,-0.24,7.36,-0.11,1.02,-2.237,4.0,False,,,1,,"tries to cramp him up on middle and leg, Warner uses the line and nudges it off his hips to long leg"
8,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,1.3,2.0,2.0,0.0,281.0,53.0,1.0,-0.25,6.94,0.07,0.78,82.498,6.0,False,,,1,,"full and slanted in at Finch, good that he managed to get the inside edge on that otherwise he would've been quite adjacent. Flick to long leg gets him a couple"
9,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,1.4,0.0,0.0,0.0,152.0,197.0,5.0,-0.36,7.73,-0.16,1.04,86.882,6.0,False,,,1,,"gets it to straighten outside off and nails a good length too, Finch respects it with a block"
10,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,6.89,-0.65,0.84,87.908,6.0,False,,,0,,beaten again! Fishes the extravagant drive through the covers as he bowls full and jags the ball away at the very last moment. Might as well pinned a 'ha ha' note on that ball
11,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,7.52,-0.64,0.84,87.655,6.0,False,,,1,,"another awayswinger, perhaps a touch wider which means Finch can correct his mistake from the last ball and leave it"
12,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.1,0.0,0.0,0.0,232.0,202.0,3.0,-0.07,7.11,0.24,0.87,83.808,6.0,False,,,1,,"good length on off stump, defended strongly to mid-off"
13,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14,6.32,0.62,0.76,83.456,6.0,False,,,0,,"fullish and outside off, dragging him to play the angle across him and beats him. Terrific fast bowling"
14,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.3,0.0,0.0,0.0,215.0,196.0,3.0,-0.14,8.05,0.23,1.00,85.021,6.0,False,,,1,,"back of a length on off stump, defended cautiously"
15,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.4,0.0,0.0,0.0,227.0,226.0,4.0,0.04,5.77,0.29,0.72,87.047,6.0,False,,,1,,"he's not been put off from coming forward, and he has to with Jimmy keeping the ball full on off stump. Pushed towards mid-off"
16,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.5,2.0,2.0,0.0,63.0,211.0,6.0,-0.27,6.20,-0.12,0.58,85.262,8.0,False,,,1,,"rare loose ball, and Warner has picked it away through midwicket to pick up a couple. A tad too straight from Jimmy, perhaps looking for the inswinger as a change up"
17,1,Australia,England,219889,8608,David Warner,Aaron Finch,James Anderson,n,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.31,0.46,0.84,84.789,8.0,False,,,1,,"just back of a length and skimming over what would have been sixth stump, Warner lets it pass"
18,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,3.1,4.0,4.0,0.0,211.0,353.0,4.0,,,,,,12.0,False,,,1,,phew! How's that to blunt the fast bowler's confidence (and get some for yourself)? Takes a fullish delivery and lifts it over mid-on with pure authority
19,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,3.2,3.0,3.0,0.0,327.0,211.0,3.0,-0.53,9.43,-0.31,1.37,88.180,15.0,False,,,0,,"predictable response, and even if Finch was ready for the short ball he is not able to time it well enough. Good short ball from Broady which rose around chest-high and came at him quite quickly too. Miscue finds the gap and gets him three"
20,1,Australia,England,219889,10617,David Warner,Aaron Finch,Stuart Broad,n,3.3,3.0,3.0,0.0,31.0,135.0,7.0,-0.32,8.36,-0.03,1.16,81.498,18.0,False,,,1,,"shortish on middle and leg, Warner hops back and short-arm flicks it almost all the way to the square leg boundary. It's the long one down there, and Ballance is able to catch up with it"
21,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,3.4,4.0,4.0,0.0,343.0,114.0,2.0,-0.41,10.26,-0.18,1.49,84.718,22.0,False,,,1,,"muscled away to the square leg boundary! Vicious! Bowling short with the new ball, especially when he offers enough room for Finch to free his arms and hammer a pull with pure abandon"
22,1,Australia,England,5334,10617,Aaron Finch,David Warner,Stuart Broad,y,3.5,1.0,1.0,0.0,291.0,73.0,2.0,-0.09,6.66,0.20,0.87,84.598,23.0,False,,,1,,"fuller delivery on middle and leg, flicked to long leg. Better length"
23,1,Australia,England,219889,10617,David Warner,Aaron Finch,Stuart Broad,n,3.6,0.0,0.0,0.0,211.0,178.0,3.0,-0.12,7.94,0.13,1.10,87.522,23.0,False,,,0,,"hit him on the hip, I think... It was shortish, and quick as well. Warner attempts to push it into the off side but it jags back late, takes the inside edge and has probably caused a bruise"
24,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,4.1,4.0,4.0,0.0,144.0,350.0,5.0,-0.29,4.79,-0.41,0.62,85.271,27.0,False,,,1,,"looks for swing, but all he can find is Finch's sweet spot! Gets that front foot down the ground and pounds a drive to the left of the bowler"
25,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,4.2,0.0,0.0,0.0,146.0,243.0,5.0,-0.42,6.96,-0.51,0.83,85.658,27.0,False,,,1,,"back of a length and outside off, refusing Finch the drive he has been quite keen on, punched to mid-off"
26,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,4.3,2.0,2.0,0.0,318.0,113.0,2.0,-0.11,7.12,0.15,0.78,82.122,29.0,False,,,1,,"goes wide of the crease and Finch exploits the angle into the pads with a flick to the left of long leg, I'm kinda digging these larger outfields"
27,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.26,4.16,0.49,0.52,81.128,30.0,False,,,0,Wd,slips a bit too far down leg as Anderson searches for the inswinger
28,1,Australia,England,5334,8608,Aaron Finch,David Warner,James Anderson,y,4.4,3.0,3.0,0.0,29.0,177.0,6.0,-0.45,7.24,-0.43,0.90,-2.237,33.0,False,,,1,,"stands up on his toes to get on top of a shortish ball and slaps it through th ecovers. Taylor aand Morgan chase after it and keep it to three. Long boundaries for the win, again"
