,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,6.34,-0.63,0.74,84.221,0.0,False,,,0,,"proud upright seam first ball, swings away from a length, beats the outside edge of the defensive bat. Hardly any carry, though"
1,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,0.2,0.0,0.0,0.0,133.0,187.0,6.0,,,,,,0.0,False,,,1,,"short of a length, holds its line a little, defended off the back foot"
2,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,0.3,0.0,1.0,1.0,226.0,123.0,2.0,0.01,3.55,0.25,0.46,-2.237,1.0,False,,,0,Lb,"leg-side half-volley, Finch misses out on a boundary. Gets just the leg-bye"
3,1,Australia,India,219889,481896,David Warner,Aaron Finch,Mohammed Shami,n,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06,6.68,0.56,0.78,86.922,1.0,False,,,0,,tentative - and dare I say - nervous push at a length ball angled across him. No feet there. Beaten
4,1,Australia,India,219889,481896,David Warner,Aaron Finch,Mohammed Shami,n,0.5,1.0,1.0,0.0,244.0,214.0,3.0,-0.07,5.72,0.29,0.74,86.211,2.0,False,,,1,,"fuller, on off, pushed between mid-off and cover for a single"
5,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,0.6,0.0,0.0,0.0,236.0,196.0,3.0,-0.29,6.67,-0.18,0.70,85.844,2.0,False,,,1,,"on off, perfect length too, the ball angles in towards off and middle, defended to mid-on"
6,1,Australia,India,219889,376116,David Warner,Aaron Finch,Umesh Yadav,n,1.1,4.0,4.0,0.0,229.0,353.0,4.0,0.05,4.92,0.23,0.61,89.137,6.0,False,,,1,,"half-volley, and Warner is away. Yadav bowls a loosener, on off, Warner just meets it with a full face. The mid-off is wide, and he gets four for this push"
7,1,Australia,India,219889,376116,David Warner,Aaron Finch,Umesh Yadav,n,1.2,0.0,0.0,0.0,213.0,194.0,3.0,-0.19,7.32,0.10,0.99,89.940,6.0,False,,,1,,"better length. Can't drive this. Can't go back to this. No swing, though. Defended off the back foot"
8,1,Australia,India,219889,376116,David Warner,Aaron Finch,Umesh Yadav,n,1.3,1.0,1.0,0.0,245.0,207.0,3.0,-0.05,7.23,0.27,0.92,90.976,7.0,False,,,1,,"on a length again, but this time Warner plays with an open face, and gets a single between mid-off and cover"
9,1,Australia,India,5334,376116,Aaron Finch,David Warner,Umesh Yadav,y,1.4,0.0,0.0,0.0,138.0,183.0,6.0,-0.37,8.62,-0.39,1.07,91.800,7.0,False,,,1,,slight shape away from the right-hand batsman. Finch plays watchfully. Towards cover
10,1,Australia,India,5334,376116,Aaron Finch,David Warner,Umesh Yadav,y,1.5,1.0,1.0,0.0,126.0,35.0,8.0,-0.21,7.63,-0.18,0.97,91.756,8.0,False,,,0,,"<b>lovely delivery but no gully</b>. This has opened Finch up. Wide on the crease, angling in, Finch looks leg side, but after pitching on a length this leaves him against the angle, and runs off the thick outside edge through the vacant gully region"
11,1,Australia,India,219889,376116,David Warner,Aaron Finch,Umesh Yadav,n,1.6,6.0,6.0,0.0,9.0,180.0,6.0,-0.25,9.31,0.08,1.27,91.897,14.0,False,,,1,,"short-arm pull for six. Warner not tentative anymore. Yadav pitches short of a length, and on the pads. Not a horrible delivery, but Warner loves this length. He has flick-pulled this over square leg"
12,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,2.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.02,6.01,0.47,0.74,85.589,15.0,False,,,0,Wd,"wide down the leg side as Shami tries to surprise Finch, who mush be expecting outswingers"
13,1,Australia,India,5334,481896,Aaron Finch,David Warner,Mohammed Shami,y,2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,5.36,-0.30,0.61,87.161,15.0,False,,,0,,"another inswinger. Beats Finch's inside edge as Finch tries a big drive outside off. This is a full ball, but  just short of driving length"
