,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,New Zealand,Australia,226492,311592,Martin Guptill,Brendon McCullum,Mitchell Starc,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,7.22,-0.41,0.86,86.698,0.0,False,,,1,
1,1,New Zealand,Australia,226492,311592,Martin Guptill,Brendon McCullum,Mitchell Starc,y,0.2,1.0,1.0,0.0,105.0,56.0,8.0,0.05,9.58,-0.22,1.28,92.016,1.0,False,,,1,
2,1,New Zealand,Australia,37737,311592,Brendon McCullum,Martin Guptill,Mitchell Starc,y,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.10,3.88,-0.18,0.40,92.332,1.0,False,,,0,
3,1,New Zealand,Australia,37737,311592,Brendon McCullum,Martin Guptill,Mitchell Starc,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.98,0.45,0.40,89.632,1.0,False,,,0,
4,1,New Zealand,Australia,37737,311592,Brendon McCullum,Martin Guptill,Mitchell Starc,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,2.62,-0.12,0.28,93.102,1.0,True,bowled,37737,0,
5,1,New Zealand,Australia,277906,311592,Kane Williamson,Martin Guptill,Mitchell Starc,y,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.17,5.45,0.22,0.67,-2.237,1.0,False,,,0,
6,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,1.1,1.0,1.0,0.0,273.0,57.0,1.0,-0.03,7.54,0.32,0.91,-2.237,2.0,False,,,1,
7,1,New Zealand,Australia,277906,288284,Kane Williamson,Martin Guptill,Josh Hazlewood,y,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,4.69,-0.86,0.55,-2.237,2.0,False,,,1,
8,1,New Zealand,Australia,277906,288284,Kane Williamson,Martin Guptill,Josh Hazlewood,y,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.40,9.74,-0.53,1.27,-2.237,2.0,False,,,1,
9,1,New Zealand,Australia,277906,288284,Kane Williamson,Martin Guptill,Josh Hazlewood,y,1.4,0.0,4.0,4.0,223.0,12.0,1.0,-0.00,8.17,0.37,1.00,86.914,6.0,False,,,0,Lb
10,1,New Zealand,Australia,277906,288284,Kane Williamson,Martin Guptill,Josh Hazlewood,y,1.5,0.0,0.0,0.0,143.0,186.0,6.0,-0.22,5.34,-0.23,0.64,87.144,6.0,False,,,1,
11,1,New Zealand,Australia,277906,288284,Kane Williamson,Martin Guptill,Josh Hazlewood,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,6.55,-0.58,0.75,-2.237,6.0,False,,,1,
12,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.1,0.0,0.0,0.0,202.0,179.0,3.0,0.00,6.45,0.00,0.76,91.007,6.0,False,,,0,
13,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.2,0.0,0.0,0.0,200.0,188.0,4.0,0.29,10.33,0.12,1.49,-2.237,6.0,False,,,1,
14,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.3,0.0,0.0,0.0,149.0,191.0,6.0,-0.00,8.16,-0.09,1.06,91.611,6.0,False,,,1,
15,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.4,4.0,4.0,0.0,20.0,224.0,6.0,-0.50,4.35,-0.80,0.48,92.530,10.0,False,,,1,
16,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.22,12.52,-0.34,2.07,92.835,10.0,False,,,1,
17,1,New Zealand,Australia,226492,311592,Martin Guptill,Kane Williamson,Mitchell Starc,y,2.6,1.0,1.0,0.0,306.0,112.0,2.0,0.32,8.38,0.27,1.23,94.143,11.0,False,,,1,
18,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,7.80,-0.49,1.09,86.905,11.0,False,,,1,
19,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,3.2,0.0,0.0,0.0,107.0,171.0,6.0,-0.43,8.97,-0.58,0.90,88.254,11.0,False,,,1,
20,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,3.3,0.0,0.0,0.0,231.0,187.0,3.0,-0.24,7.29,-0.06,0.88,87.992,11.0,False,,,1,
21,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,3.4,6.0,6.0,0.0,196.0,4.0,1.0,-0.34,11.04,-0.25,1.88,86.787,17.0,False,,,0,
22,1,New Zealand,Australia,226492,288284,Martin Guptill,Kane Williamson,Josh Hazlewood,y,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,6.82,-0.35,0.82,-2.237,17.0,False,,,1,
