,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,0.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.76,9.15,-1.46,1.23,81.005,1.0,False,,,0,Wd,"starts off with a big outswinging wide well outside off, Finch also chases wildly. Nervous start"
1,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,0.1,3.0,3.0,0.0,330.0,238.0,3.0,-0.33,8.95,-0.53,1.22,82.454,4.0,False,,,1,,back of length well outside off and Finch stays back to jab it just past midwicket for three
2,1,Australia,New Zealand,219889,232364,David Warner,Aaron Finch,Tim Southee,n,0.2,0.0,1.0,1.0,0.0,0.0,0.0,-0.45,3.67,-0.57,0.54,82.113,5.0,False,,,0,Wd,"down the leg side for Warner now, goes past his pads for another wide"
3,1,Australia,New Zealand,219889,232364,David Warner,Aaron Finch,Tim Southee,n,0.2,1.0,1.0,0.0,56.0,204.0,6.0,-0.18,4.38,-0.29,0.48,86.815,6.0,False,,,1,,"full on the pads, worked away easily with the swing for one"
4,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,0.3,4.0,4.0,0.0,257.0,14.0,1.0,0.12,5.46,0.28,0.64,83.809,10.0,False,,,1,,"down leg for Finch now, he just helps it along the way, it was swinging down as it is and goes fine for four"
5,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,0.4,0.0,0.0,0.0,138.0,232.0,5.0,-0.56,6.25,-0.74,0.78,85.957,10.0,False,,,1,,"fullish outside off now, Finch swings his arms drives it to mid off"
6,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,0.5,1.0,1.0,0.0,248.0,196.0,3.0,-0.12,5.93,0.07,0.69,82.581,11.0,False,,,1,,"angled in towards the pads, tucked to midwicket for a single as the fielder gets a dive to get a hand"
7,1,Australia,New Zealand,219889,232364,David Warner,Aaron Finch,Tim Southee,n,0.6,0.0,4.0,4.0,0.0,0.0,0.0,-0.30,10.73,-0.22,1.94,83.804,15.0,False,,,0,B,"bouncer to end the over, that goes over Warner on the leg side and over Ronchi too. Four byes and 15 from the first over"
8,1,Australia,New Zealand,5334,277912,Aaron Finch,David Warner,Trent Boult,y,1.1,0.0,1.0,1.0,249.0,167.0,3.0,0.15,8.21,0.13,0.93,88.716,16.0,False,,,0,Lb,"starts off on the leg side, deflects off the pads on the leg side for one"
9,1,Australia,New Zealand,219889,277912,David Warner,Aaron Finch,Trent Boult,n,1.2,6.0,6.0,0.0,236.0,7.0,1.0,0.40,8.01,0.71,1.08,86.286,22.0,False,,,0,,"thick edge for six! Shortish ball outside off, Warner threw his bat at it with a slog on the leg side and a very thick top edge went for six to the fine third man boundary"
10,1,Australia,New Zealand,219889,277912,David Warner,Aaron Finch,Trent Boult,n,1.3,2.0,2.0,0.0,343.0,185.0,3.0,0.40,8.08,0.67,1.11,87.581,24.0,False,,,1,,"short and wide, Warner stays back and chips it over point for two"
11,1,Australia,New Zealand,219889,277912,David Warner,Aaron Finch,Trent Boult,n,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.43,6.45,0.64,0.84,87.241,24.0,False,,,0,,"swing and a miss, there it is! Beautiful delivery shaping away from outside off, Warner pushed at it without moving much and missed"
12,1,Australia,New Zealand,219889,277912,David Warner,Aaron Finch,Trent Boult,n,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42,7.07,0.56,0.86,88.392,24.0,False,,,1,,"touch fuller and shaping away again, left alone this time"
13,1,Australia,New Zealand,219889,277912,David Warner,Aaron Finch,Trent Boult,n,1.6,0.0,0.0,0.0,221.0,188.0,3.0,0.44,6.65,0.72,0.73,84.567,24.0,False,,,1,,"length delivery outside off, driven to short cover"
14,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,2.1,6.0,6.0,0.0,286.0,335.0,4.0,-0.49,6.20,-0.58,0.79,83.806,30.0,False,,,1,,"second six in the first 13 balls! It was pitched up just outside off, Finch saw it early and lofted it straight down the ground to the long on boundary for a clean six"
15,1,Australia,New Zealand,5334,232364,Aaron Finch,David Warner,Tim Southee,y,2.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,5.26,-0.07,0.60,86.300,30.0,True,bowled,5334,0,,"Southee draws first blood, the crowd erupts! He took the risk of pitching it up again just outside off, swung it in a bit and the ball went through the drive Finch unleashed. Off stump knocked over, Southee pumps his fists and is mobbed by his team-mates"
16,1,Australia,New Zealand,8180,232364,Shane Watson,David Warner,Tim Southee,y,2.3,4.0,4.0,0.0,350.0,129.0,2.0,0.41,-0.99,0.35,0.20,86.897,34.0,False,,,1,,"easy first ball for Watson, get a full toss on the pads and he flicks it away just behind square on the leg side past the umpire for four"
17,1,Australia,New Zealand,8180,232364,Shane Watson,David Warner,Tim Southee,y,2.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,6.95,-0.44,0.84,81.573,34.0,False,,,1,,"back to good-length delivery outside off, left alone this time"
18,1,Australia,New Zealand,8180,232364,Shane Watson,David Warner,Tim Southee,y,2.5,2.0,2.0,0.0,329.0,132.0,2.0,-0.07,4.41,0.10,0.56,84.281,36.0,False,,,1,,"fullish on middle and leg, Watson puts his front foot forward and flicks it to the square leg region for two"
19,1,Australia,New Zealand,8180,232364,Shane Watson,David Warner,Tim Southee,y,2.6,0.0,0.0,0.0,222.0,191.0,3.0,-0.17,5.78,-0.04,0.65,85.664,36.0,False,,,1,,"much better and straighter from Southee on length, Watson defends on the leg side and sees there's no time for a run"
20,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,3.1,0.0,0.0,0.0,162.0,194.0,5.0,0.17,7.44,-0.03,0.98,89.650,36.0,False,,,1,,"swinging into the batsman, no room at all and Warner pushes it down to mid on"
21,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,3.2,2.0,2.0,0.0,298.0,234.0,3.0,0.49,5.26,0.68,0.61,89.011,38.0,False,,,1,,"bit too full outside off, Warner drives to get it just past cover point and gets two"
22,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,3.3,0.0,0.0,0.0,195.0,187.0,4.0,0.22,5.32,0.18,0.59,89.875,38.0,False,,,1,,"on the off stump now on length, pushed back to the bowler"
23,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,3.4,1.0,1.0,0.0,52.0,191.0,6.0,0.03,7.11,-0.27,0.77,89.081,39.0,False,,,1,,"angled into Warner again, worked with the swing to the leg side for one"
24,1,Australia,New Zealand,8180,277912,Shane Watson,David Warner,Trent Boult,y,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,5.50,-0.59,0.61,87.554,39.0,False,,,1,,angles it across with some outswing outside off and Watson lets it go
25,1,Australia,New Zealand,8180,277912,Shane Watson,David Warner,Trent Boult,y,3.6,0.0,0.0,0.0,204.0,187.0,3.0,0.01,1.42,-0.00,0.20,89.734,39.0,False,,,0,,"what a <b>yorker</b>! Right in the block hole on middle stump, Watson lost his balance but did well to get bat on it and dug it out to short midwicket"
26,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,9.67,-0.25,1.23,85.030,39.0,False,,,1,,"short ball just around leg stump line, goes over Warner as he ducks awkwardly"
27,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.2,4.0,4.0,0.0,15.0,108.0,7.0,-0.32,10.25,0.18,1.59,85.264,43.0,False,,,1,,"expects the short ball, gets it and pulls it to the fine leg boundary for a one-bounce four. There's no fielder there, was one deep backward square"
28,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.3,4.0,4.0,0.0,14.0,240.0,6.0,-0.16,9.00,0.18,1.19,83.302,47.0,False,,,1,,"another short ball and he slams it with a pull to the square leg boundary. Doesn't look like that bowling plan is working there, whatever it is"
29,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.4,0.0,0.0,0.0,192.0,187.0,4.0,-0.03,6.76,0.20,0.82,84.807,47.0,False,,,1,,"much better, on off stump and Warner blocks it back"
30,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.5,0.0,0.0,0.0,228.0,196.0,3.0,0.02,7.78,0.38,0.95,85.725,47.0,False,,,1,,"length delivery outside off, pushed into the covers"
31,1,Australia,New Zealand,219889,232364,David Warner,Shane Watson,Tim Southee,n,4.6,1.0,1.0,0.0,113.0,201.0,6.0,-0.14,7.29,0.05,0.82,84.441,48.0,False,,,1,,"slightly straighter on middle stump, turned to the leg side past midwicket for one"
32,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,5.1,1.0,1.0,0.0,78.0,217.0,6.0,0.41,8.79,0.29,1.02,87.211,49.0,False,,,1,,"shortish just around off, jabbed off the back foot to leg for one"
33,1,Australia,New Zealand,8180,277912,Shane Watson,David Warner,Trent Boult,y,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,10.88,-0.38,1.27,89.485,49.0,False,,,1,,"good, short ball angling across from just outside off, Watson drops his hands and lets it go"
34,1,Australia,New Zealand,8180,277912,Shane Watson,David Warner,Trent Boult,y,5.3,1.0,1.0,0.0,263.0,56.0,1.0,0.06,6.16,0.09,0.78,88.848,50.0,False,,,1,,full on middle stump and it's flicked to leg for one
35,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,5.4,0.0,0.0,0.0,148.0,197.0,5.0,0.23,6.67,0.25,0.67,87.083,50.0,False,,,1,,"on length outside the off stump, turned softly to the leg side for one"
36,1,Australia,New Zealand,219889,277912,David Warner,Shane Watson,Trent Boult,n,5.5,1.0,1.0,0.0,265.0,47.0,1.0,0.46,4.46,0.67,0.53,88.004,51.0,False,,,0,,"full and wide, Warner chases and gets a thick edge in the air to third man. Southee runs in and does well to stop it after a bounce"
37,1,Australia,New Zealand,8180,277912,Shane Watson,David Warner,Trent Boult,y,5.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,7.37,-0.67,0.86,89.047,51.0,False,,,1,,"angled across the batsman from outside off, a careful Watson lets it go"
38,1,Australia,New Zealand,219889,38710,David Warner,Shane Watson,Daniel Vettori,n,6.1,0.0,0.0,0.0,237.0,243.0,4.0,0.01,6.47,0.39,0.75,60.388,51.0,False,,,1,,"bit short outside off, Warner muscles it off the back foot to cover where there's a slight fumble"
39,1,Australia,New Zealand,219889,38710,David Warner,Shane Watson,Daniel Vettori,n,6.2,0.0,0.0,0.0,206.0,187.0,3.0,-0.08,4.45,0.18,0.60,58.400,51.0,False,,,1,,"on length on middle now, Warner defends it on the off side"
40,1,Australia,New Zealand,219889,38710,David Warner,Shane Watson,Daniel Vettori,n,6.3,0.0,0.0,0.0,227.0,193.0,3.0,0.14,4.27,0.35,0.72,59.129,51.0,False,,,1,,"on length just outside off, pushed into the covers"
41,1,Australia,New Zealand,219889,38710,David Warner,Shane Watson,Daniel Vettori,n,6.4,0.0,0.0,0.0,139.0,197.0,6.0,-0.06,4.41,0.07,0.71,56.999,51.0,False,,,1,,"pitched up on middle and leg, Warner slogs on leg and can't clear short midwicket"
42,1,Australia,New Zealand,219889,38710,David Warner,Shane Watson,Daniel Vettori,n,6.5,0.0,0.0,0.0,133.0,127.0,7.0,-0.33,5.88,-0.23,0.75,61.845,51.0,False,,,1,,"towards the leg side now, Warner wants to pull it fine but finds short fine leg"
