,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Scotland,Afghanistan,25446,319746,Kyle Coetzer,Calum MacLeod,Shapoor Zadran,y,0.1,0.0,0.0,0.0,117.0,152.0,7.0,0.24,9.30,-0.46,1.23,79.123,0.0,False,,,1,,"back of a length, with a bit of nip away as was expected. Coetzer is a bit squared up and nudges it towards point"
1,1,Scotland,Afghanistan,25446,319746,Kyle Coetzer,Calum MacLeod,Shapoor Zadran,y,0.2,0.0,0.0,0.0,117.0,144.0,7.0,0.21,9.28,-0.31,1.35,83.195,0.0,False,,,1,,"shortish and skirting outside off, Coetzer jumps back in his crease nervously and blocks"
2,1,Scotland,Afghanistan,25446,319746,Kyle Coetzer,Calum MacLeod,Shapoor Zadran,y,0.3,0.0,0.0,0.0,184.0,200.0,4.0,0.18,8.15,-0.14,1.25,79.927,0.0,False,,,1,,almost falls over after delivering a fuller length and demanding the ball to nip back in at the batsman this time. Coetzer is a bit uncomfortable again as he hops and blocks
3,1,Scotland,Afghanistan,25446,319746,Kyle Coetzer,Calum MacLeod,Shapoor Zadran,y,0.4,1.0,1.0,0.0,146.0,243.0,5.0,-0.11,5.62,-0.46,0.82,80.725,1.0,False,,,1,,"fullest he's bowled so far, enough for the batsman to go for a drive minus the footwork and Stanikzai at mid-off displays some awful work. Fails to bend down enough and the ball ricochets off his left leg"
4,1,Scotland,Afghanistan,232435,319746,Calum MacLeod,Kyle Coetzer,Shapoor Zadran,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,8.52,-0.54,1.37,80.612,1.0,False,,,1,,"watches a back of a length delivery at 129 kph sail away to the keeper, great carry to the keeper"
5,1,Scotland,Afghanistan,232435,319746,Calum MacLeod,Kyle Coetzer,Shapoor Zadran,y,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,8.23,-0.83,1.30,83.448,1.0,False,,,1,,"realises the angle, not to mention Shapoor's bounce, poses no threat to his off stump and lets it go"
6,1,Scotland,Afghanistan,25446,516561,Kyle Coetzer,Calum MacLeod,Dawlat Zadran,y,1.1,0.0,4.0,4.0,235.0,9.0,1.0,0.05,6.55,0.32,0.82,84.200,5.0,False,,,0,Lb,"starts from wide of the crease and spears in a fuller ball on the pads, Coetzer attempted a flick but has to settle for leg byes. Four of them, so he shouldn't be too miffed"
7,1,Scotland,Afghanistan,25446,516561,Kyle Coetzer,Calum MacLeod,Dawlat Zadran,y,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.63,-0.01,0.80,83.673,5.0,False,,,0,,"phew! Shane Warne, are you watching this? This should have toppled middle stump after almost pitching outside leg. Just back of a good length to pin the batsman on the crease and he presents a closed face, trying to play the angle and find the gap at midwicket. Instead the ball jags away handsomely and leaves him groping"
8,1,Scotland,Afghanistan,25446,516561,Kyle Coetzer,Calum MacLeod,Dawlat Zadran,y,1.3,0.0,1.0,1.0,225.0,179.0,3.0,0.10,7.09,0.30,0.81,87.407,6.0,False,,,0,Lb,"shortish and on the pads, possibly seeking to reprise that last ball, but the away swing doesn't come and it's picked away to square leg"
9,1,Scotland,Afghanistan,232435,516561,Calum MacLeod,Kyle Coetzer,Dawlat Zadran,y,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.04,8.27,0.58,0.94,83.867,7.0,False,,,0,Wd,slides down the leg side and misses the batsman's flick
10,1,Scotland,Afghanistan,232435,516561,Calum MacLeod,Kyle Coetzer,Dawlat Zadran,y,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,8.33,-0.45,0.98,85.957,7.0,False,,,1,,"switches his radar on right and explores the channel outside off. Left quite alone and Nawroz Mangal, one of three slips, runs all the way to the bowlers mark to have a word"
11,1,Scotland,Afghanistan,232435,516561,Calum MacLeod,Kyle Coetzer,Dawlat Zadran,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,9.81,-0.53,1.40,85.818,7.0,False,,,1,,"shortish and outside off, MacLeod camly watches it pass"
12,1,Scotland,Afghanistan,232435,516561,Calum MacLeod,Kyle Coetzer,Dawlat Zadran,y,1.6,0.0,0.0,0.0,121.0,145.0,7.0,-0.57,8.11,-0.95,1.00,83.949,7.0,True,caught,232435,0,,"picked him out at backward point! He bowled a beauty earlier, this was begging to be hit. Short, wide, four written all over it but Najibullah at point disagrees. Puts his hands up over his head to cut the cut shot down to size. MacLeod cannot believe what he's done"
