,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,Bangladesh,Afghanistan,380354,311427,Anamul Haque,Tamim Iqbal,Hamid Hassan,y,0.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.71,6.18,-0.90,0.72,-2.237,1.0,False,,,1,Wd
1,1,Bangladesh,Afghanistan,380354,311427,Anamul Haque,Tamim Iqbal,Hamid Hassan,y,0.1,0.0,0.0,0.0,120.0,181.0,6.0,-0.24,6.73,-0.13,0.77,84.999,1.0,False,,,1,
2,1,Bangladesh,Afghanistan,380354,311427,Anamul Haque,Tamim Iqbal,Hamid Hassan,y,0.2,0.0,0.0,0.0,246.0,166.0,3.0,-0.24,8.50,0.28,1.14,86.568,1.0,False,,,0,
3,1,Bangladesh,Afghanistan,380354,311427,Anamul Haque,Tamim Iqbal,Hamid Hassan,y,0.3,0.0,0.0,0.0,128.0,179.0,6.0,-0.46,9.92,-0.23,1.23,86.303,1.0,False,,,1,
4,1,Bangladesh,Afghanistan,380354,311427,Anamul Haque,Tamim Iqbal,Hamid Hassan,y,0.4,1.0,1.0,0.0,255.0,54.0,1.0,-0.16,6.34,0.18,0.72,87.442,2.0,False,,,1,
5,1,Bangladesh,Afghanistan,56194,311427,Tamim Iqbal,Anamul Haque,Hamid Hassan,n,0.5,0.0,0.0,0.0,211.0,170.0,3.0,0.19,1.81,0.28,0.25,87.902,2.0,False,,,0,
6,1,Bangladesh,Afghanistan,56194,311427,Tamim Iqbal,Anamul Haque,Hamid Hassan,n,0.6,0.0,0.0,0.0,125.0,169.0,6.0,-0.13,6.01,0.11,0.71,88.716,2.0,False,,,1,
7,1,Bangladesh,Afghanistan,380354,319746,Anamul Haque,Tamim Iqbal,Shapoor Zadran,y,1.1,0.0,0.0,0.0,129.0,141.0,7.0,-0.08,6.56,-0.44,0.76,83.992,2.0,False,,,1,
8,1,Bangladesh,Afghanistan,380354,319746,Anamul Haque,Tamim Iqbal,Shapoor Zadran,y,1.2,1.0,1.0,0.0,115.0,53.0,8.0,0.04,9.77,-0.43,1.34,84.169,3.0,False,,,1,
9,1,Bangladesh,Afghanistan,56194,319746,Tamim Iqbal,Anamul Haque,Shapoor Zadran,n,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,10.30,-0.31,1.39,84.704,3.0,False,,,0,
10,1,Bangladesh,Afghanistan,56194,319746,Tamim Iqbal,Anamul Haque,Shapoor Zadran,n,1.4,0.0,1.0,1.0,131.0,147.0,7.0,0.12,7.44,-0.28,0.88,83.716,4.0,False,,,0,Lb
11,1,Bangladesh,Afghanistan,380354,319746,Anamul Haque,Tamim Iqbal,Shapoor Zadran,y,1.5,0.0,0.0,0.0,127.0,186.0,6.0,0.09,6.63,-0.23,0.89,84.080,4.0,False,,,1,
