,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.47,6.46,0.92,0.81,88.084,0.0,False,,,1,
1,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.2,0.0,0.0,0.0,243.0,201.0,3.0,0.26,6.58,0.58,0.64,88.447,0.0,False,,,1,
2,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.33,7.59,0.83,1.08,87.384,0.0,False,,,0,
3,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.4,2.0,2.0,0.0,249.0,31.0,1.0,0.39,4.67,0.65,0.50,87.167,2.0,False,,,0,
4,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16,6.13,0.47,0.55,82.398,2.0,False,,,0,
5,1,Sri Lanka,South Africa,300631,47492,Kusal Perera,Tillakaratne Dilshan,Dale Steyn,n,0.6,1.0,1.0,0.0,314.0,92.0,2.0,0.20,5.49,0.45,0.69,86.946,3.0,False,,,0,
6,1,Sri Lanka,South Africa,300631,297583,Kusal Perera,Tillakaratne Dilshan,Kyle Abbott,n,1.1,0.0,0.0,0.0,231.0,193.0,3.0,0.03,6.20,0.16,0.74,84.698,3.0,False,,,1,
7,1,Sri Lanka,South Africa,300631,297583,Kusal Perera,Tillakaratne Dilshan,Kyle Abbott,n,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.38,7.17,0.86,0.88,84.031,3.0,False,,,0,
8,1,Sri Lanka,South Africa,300631,297583,Kusal Perera,Tillakaratne Dilshan,Kyle Abbott,n,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.44,6.95,0.95,0.87,85.376,3.0,False,,,0,
9,1,Sri Lanka,South Africa,300631,297583,Kusal Perera,Tillakaratne Dilshan,Kyle Abbott,n,1.4,0.0,0.0,0.0,194.0,109.0,1.0,-0.04,6.58,0.23,0.75,85.180,3.0,True,caught,300631,0,
10,1,Sri Lanka,South Africa,50710,297583,Kumar Sangakkara,Tillakaratne Dilshan,Kyle Abbott,n,1.5,0.0,0.0,0.0,162.0,191.0,5.0,-0.17,8.54,0.16,0.86,84.406,3.0,False,,,1,
11,1,Sri Lanka,South Africa,50710,297583,Kumar Sangakkara,Tillakaratne Dilshan,Kyle Abbott,n,1.6,0.0,0.0,0.0,184.0,199.0,4.0,-0.10,7.06,0.14,0.92,83.830,3.0,False,,,1,
