,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.1,0.0,0.0,0.0,150.0,188.0,6.0,-0.07,6.98,-0.14,0.95,-2.237,0.0,False,,,1,,"swing straightaway, from middle to off from a fairly full length. Rohit defends solidly off the front foot"
1,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.2,0.0,0.0,0.0,211.0,249.0,4.0,-0.18,5.74,-0.13,0.64,-2.237,0.0,False,,,1,,"full again, angling in towards off stump, no swing on this one. Rohit clips it to mid-on"
2,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,6.54,-0.80,0.64,84.334,0.0,False,,,1,,"wide-ish ball outside off, left alone"
3,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,8.04,-0.78,0.77,84.084,0.0,False,,,1,,a lot of shape away but it starts wide outside off. Rohit leaves again
4,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.5,0.0,0.0,0.0,125.0,155.0,7.0,-0.35,8.05,-0.57,0.72,85.551,0.0,False,,,1,,"back of a length, closer to off stump this time, punched towards point"
5,1,India,South Africa,34102,47492,Rohit Sharma,Shikhar Dhawan,Dale Steyn,y,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,6.82,-0.61,0.53,84.857,0.0,False,,,0,,"there's the waft. It's on a fullish length outside off, not full enough to drive, but Rohit attempts to hit it on the up and the ball curls away and beats his outside edge"
6,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.1,0.0,0.0,0.0,254.0,157.0,2.0,0.00,10.18,0.55,1.23,80.359,0.0,False,,,1,,starts with a shortish ball outside off. Dhawan stands up and slaps hard but Miller cuts it off with a dive to his right at backward point
7,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.2,0.0,0.0,0.0,219.0,207.0,4.0,-0.15,6.93,0.04,0.76,82.777,0.0,False,,,1,,"better line now, angling across towards off and middle. Dhawan blocks it back down the pitch"
8,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.3,0.0,0.0,0.0,232.0,181.0,3.0,-0.06,8.90,0.20,1.17,82.394,0.0,False,,,1,,"back of a length on off stump, defended off the back foot to short cover"
9,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.4,4.0,4.0,0.0,20.0,122.0,7.0,-0.29,5.96,-0.25,0.65,82.698,4.0,False,,,1,,"too straight now, and Dhawan is on his way, clipping it off his pads to the square leg boundary"
10,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.5,0.0,0.0,0.0,148.0,239.0,5.0,-0.06,5.57,0.00,0.69,80.698,4.0,False,,,1,,"fullish on middle stump, driven to mid-on"
11,1,India,South Africa,28235,46945,Shikhar Dhawan,Rohit Sharma,Vernon Philander,n,1.6,1.0,1.0,0.0,242.0,230.0,4.0,0.13,5.56,0.33,0.64,81.398,5.0,False,,,1,,full on off stump and he gets a good stride out to drive to the right of mid-off
12,1,India,South Africa,28235,47492,Shikhar Dhawan,Rohit Sharma,Dale Steyn,n,2.1,0.0,0.0,0.0,250.0,158.0,2.0,-0.03,8.11,0.28,1.07,-2.237,5.0,False,,,1,,"back of a length, fourth-stump line, defended off the back foot to point"
13,1,India,South Africa,28235,47492,Shikhar Dhawan,Rohit Sharma,Dale Steyn,n,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6.74,0.47,0.72,90.126,5.0,False,,,1,,"pushes it up a bit fuller, probing line in the corridor, Dhawan leaves it alone"
14,1,India,South Africa,28235,47492,Shikhar Dhawan,Rohit Sharma,Dale Steyn,n,2.3,4.0,4.0,0.0,350.0,131.0,2.0,0.17,6.71,0.47,0.76,90.177,9.0,False,,,1,,"length ball, not too much width outside off, but Dhawan doesn't really need a lot, stays leg-side of the ball, plants his front foot out, and carves it away backward of point"
15,1,India,South Africa,28235,47492,Shikhar Dhawan,Rohit Sharma,Dale Steyn,n,2.4,0.0,0.0,0.0,190.0,199.0,4.0,-0.10,7.00,0.08,0.84,87.494,9.0,False,,,1,,"straightens his line now, attacks middle stump. Dhawan defends back towards the bowler"
16,1,India,South Africa,28235,47492,Shikhar Dhawan,Rohit Sharma,Dale Steyn,n,2.5,0.0,0.0,0.0,239.0,206.0,3.0,0.02,5.83,0.19,0.64,90.621,9.0,True,run out,34102,1,,"Oh, my. That's an unfortunate way to go. Dhawan comes on the front foot to push into the covers, where Duminy makes a super diving stop, and the ball rolls to AB at mid-off. Rohit had sprinted out of his crease, and was quite a distance down it when he realised the ball hadn't gone past the fielder. Stumbled as he turned. AB hits the stumps direct, and Rohit is well short, even while diving, and the bat's slipped out of his hand as well."
17,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,2.6,0.0,0.0,0.0,226.0,180.0,3.0,,,,,,9.0,False,,,1,,"back of a length outside off, blocked into the covers"
18,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,7.65,-0.58,0.71,82.479,9.0,False,,,1,,"back of a length on a fifth-stump line. Kohli is batting outside his crease, on off stump. Leaves it alone"
19,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,8.56,-0.61,0.86,84.840,9.0,False,,,0,,"oooh., That's the ball that's troubled Kohli all these months, leaving him from back of a length, fifth-stump line. Kohli jabs and misses"
20,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,7.60,-0.58,0.69,84.084,9.0,False,,,1,,"a little fuller, left alone"
21,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.4,0.0,0.0,0.0,140.0,185.0,6.0,-0.38,7.66,-0.40,0.77,82.110,9.0,False,,,1,,"a bit closer to off stump, defended off the front foot into the covers"
22,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.5,0.0,0.0,0.0,122.0,157.0,7.0,-0.48,8.66,-0.50,1.10,82.915,9.0,False,,,1,,"back of a length now, close enough to off stump for Kohli to punch it to point"
23,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,3.6,0.0,0.0,0.0,189.0,197.0,4.0,-0.25,7.15,-0.14,0.75,82.912,9.0,False,,,1,,"a bit fuller now, and Kohli, who's a foot out of his crease at least, gets further forward to defend towards mid-on"
24,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,4.1,0.0,0.0,0.0,129.0,159.0,7.0,-0.23,8.99,-0.09,1.11,89.144,9.0,False,,,1,,a little bit of shape in towards leg stump from back of a length. Dhawan tucks it away towards square leg
25,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,4.2,0.0,0.0,0.0,157.0,186.0,6.0,-0.22,7.98,-0.09,1.06,88.172,9.0,False,,,1,,"again, the leg-stump line cramps Dhawan, and he plays it cautiously off the back foot into the on side"
26,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,4.3,0.0,0.0,0.0,206.0,174.0,3.0,-0.25,11.53,-0.06,1.62,88.658,9.0,False,,,0,,"what a delivery. That was short, and it rose to neck-height, coming into Dhawan off the pitch and following him as he tried to sway away. Hands went up to protect his face and he's lucky that didn't pop too far away after hitting his gloves"
27,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,4.4,0.0,0.0,0.0,116.0,174.0,6.0,-0.25,11.39,-0.02,1.62,89.137,9.0,False,,,0,,"short again, close to Dhawan's body again, and he's a little late on a strange checked pull, hits it in the air but it drops short of short midwicket diving to his left"
28,1,India,South Africa,28235,47492,Shikhar Dhawan,Virat Kohli,Dale Steyn,n,4.5,1.0,1.0,0.0,234.0,221.0,4.0,0.31,-1.32,0.28,0.24,91.600,10.0,False,,,1,,"full-toss on off stump, punched towards cover"
29,1,India,South Africa,253802,47492,Virat Kohli,Shikhar Dhawan,Dale Steyn,y,4.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,8.41,-0.74,1.00,90.743,10.0,False,,,0,,shortish outside off and Kohli goes hard at it with an angled-bat slash. Ball moves away slightly and beats his edge again
30,1,India,South Africa,28235,46945,Shikhar Dhawan,Virat Kohli,Vernon Philander,n,5.1,1.0,1.0,0.0,45.0,138.0,7.0,-0.28,9.65,-0.18,1.05,80.596,11.0,False,,,1,,"back of a length on leg stump, tucked off the hips towards backward square leg"
31,1,India,South Africa,253802,46945,Virat Kohli,Shikhar Dhawan,Vernon Philander,y,5.2,1.0,1.0,0.0,236.0,184.0,3.0,-0.34,9.11,-0.13,1.15,83.313,12.0,False,,,1,,back of a length on off stump. Kohli walks across his stumps and works it towards square leg
