,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,0.1,0.0,0.0,0.0,160.0,189.0,5.0,0.16,4.12,0.06,0.53,82.984,0.0,False,,,1,
1,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,0.2,1.0,1.0,0.0,113.0,204.0,6.0,0.31,4.64,0.11,0.52,81.204,1.0,False,,,1,
2,1,Sri Lanka,Scotland,48472,353431,Tillakaratne Dilshan,Lahiru Thirimanne,Rob Taylor,y,0.3,0.0,0.0,0.0,132.0,162.0,7.0,,,,,,1.0,False,,,1,
3,1,Sri Lanka,Scotland,48472,353431,Tillakaratne Dilshan,Lahiru Thirimanne,Rob Taylor,y,0.4,3.0,3.0,0.0,33.0,138.0,7.0,0.25,6.46,0.02,0.76,80.288,4.0,False,,,1,
4,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,0.5,0.0,0.0,0.0,218.0,185.0,3.0,0.32,6.22,0.16,0.75,78.298,4.0,False,,,1,
5,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,0.6,0.0,0.0,0.0,138.0,190.0,6.0,0.03,1.08,-0.01,0.18,81.898,4.0,False,,,1,
6,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,1.1,4.0,4.0,0.0,19.0,263.0,6.0,-0.70,5.87,-0.76,0.68,81.264,8.0,False,,,1,
7,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,1.2,0.0,0.0,0.0,171.0,168.0,6.0,-0.64,7.37,-0.56,0.69,81.883,8.0,False,,,0,
8,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,1.3,1.0,1.0,0.0,229.0,186.0,3.0,-0.22,7.23,0.07,0.79,81.471,9.0,False,,,1,
9,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,1.4,0.0,0.0,0.0,161.0,186.0,5.0,-0.29,7.84,-0.15,0.91,82.634,9.0,False,,,1,
10,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,9.63,-0.02,1.16,81.157,9.0,False,,,0,
11,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07,7.99,0.73,0.89,80.798,9.0,False,,,1,
12,1,Sri Lanka,Scotland,48472,353431,Tillakaratne Dilshan,Lahiru Thirimanne,Rob Taylor,y,2.1,0.0,0.0,0.0,166.0,194.0,5.0,0.18,8.57,-0.17,0.90,80.411,9.0,False,,,1,
13,1,Sri Lanka,Scotland,48472,353431,Tillakaratne Dilshan,Lahiru Thirimanne,Rob Taylor,y,2.2,1.0,1.0,0.0,247.0,180.0,3.0,0.20,8.81,-0.19,1.10,78.933,10.0,False,,,1,
14,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,2.3,0.0,0.0,0.0,189.0,197.0,4.0,0.26,5.32,0.02,0.64,79.747,10.0,False,,,1,
15,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,2.4,0.0,0.0,0.0,224.0,187.0,3.0,0.34,7.24,0.11,0.88,77.597,10.0,False,,,1,
16,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,2.5,2.0,2.0,0.0,314.0,216.0,3.0,0.41,6.81,0.30,0.79,80.252,12.0,False,,,1,
17,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,2.6,0.0,0.0,0.0,205.0,196.0,4.0,0.39,7.01,0.16,0.84,75.784,12.0,False,,,1,
18,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,3.1,1.0,1.0,0.0,243.0,97.0,1.0,-0.32,9.60,0.21,1.33,-2.237,13.0,False,,,1,
19,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,7.59,0.56,0.86,84.595,13.0,False,,,1,
20,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,3.3,0.0,0.0,0.0,210.0,126.0,1.0,-0.28,11.56,0.43,1.00,82.871,13.0,False,,,1,
21,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,3.4,1.0,1.0,0.0,67.0,88.0,7.0,-0.38,12.31,-0.10,1.67,80.098,14.0,False,,,1,
22,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,3.5,0.0,1.0,1.0,216.0,112.0,1.0,-0.12,6.22,0.30,0.79,81.321,15.0,False,,,0,Lb
23,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,3.6,0.0,0.0,0.0,234.0,178.0,3.0,-0.21,10.05,0.42,1.33,83.102,15.0,False,,,1,
24,1,Sri Lanka,Scotland,48472,353431,Tillakaratne Dilshan,Lahiru Thirimanne,Rob Taylor,y,4.1,1.0,1.0,0.0,75.0,84.0,7.0,0.14,9.58,-0.28,1.35,78.154,16.0,False,,,1,
25,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,4.2,0.0,0.0,0.0,160.0,232.0,5.0,,,,,,16.0,False,,,1,
26,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,4.3,0.0,0.0,0.0,199.0,185.0,4.0,0.30,6.31,0.11,0.67,80.869,16.0,False,,,1,
27,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,4.4,0.0,0.0,0.0,211.0,184.0,3.0,0.35,7.94,0.11,0.96,79.867,16.0,False,,,1,
28,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,4.5,0.0,0.0,0.0,197.0,186.0,4.0,0.25,6.90,-0.02,0.81,81.111,16.0,False,,,1,
29,1,Sri Lanka,Scotland,301236,353431,Lahiru Thirimanne,Tillakaratne Dilshan,Rob Taylor,n,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.53,8.08,0.50,1.04,80.301,16.0,False,,,0,
30,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,5.1,4.0,4.0,0.0,361.0,188.0,3.0,-0.42,9.16,-0.19,1.14,84.897,20.0,False,,,1,
31,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Lahiru Thirimanne,Alasdair Evans,y,5.2,1.0,1.0,0.0,313.0,210.0,3.0,-0.43,10.11,-0.16,1.10,81.787,21.0,False,,,1,
32,1,Sri Lanka,Scotland,301236,399259,Lahiru Thirimanne,Tillakaratne Dilshan,Alasdair Evans,n,5.3,0.0,0.0,0.0,215.0,127.0,1.0,0.10,6.38,0.53,0.69,83.055,21.0,True,caught,301236,0,
33,1,Sri Lanka,Scotland,50710,399259,Kumar Sangakkara,Tillakaratne Dilshan,Alasdair Evans,n,5.4,3.0,3.0,0.0,207.0,296.0,4.0,0.03,4.64,0.28,0.47,85.063,24.0,False,,,1,
34,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Kumar Sangakkara,Alasdair Evans,y,5.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,7.20,-0.71,0.87,82.438,24.0,False,,,0,
35,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Kumar Sangakkara,Alasdair Evans,y,5.6,2.0,2.0,0.0,301.0,87.0,2.0,-0.24,7.56,0.24,0.83,76.917,26.0,False,,,1,
36,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.1,0.0,0.0,0.0,185.0,189.0,4.0,0.26,7.19,0.01,0.85,79.998,26.0,False,,,1,
37,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.2,0.0,0.0,0.0,186.0,183.0,4.0,0.27,7.40,-0.00,0.83,81.638,26.0,False,,,1,
38,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.3,0.0,0.0,0.0,201.0,186.0,3.0,0.33,6.98,0.09,0.80,80.344,26.0,False,,,1,
39,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.4,0.0,0.0,0.0,220.0,187.0,3.0,0.31,7.73,0.05,1.00,79.581,26.0,False,,,1,
40,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.5,0.0,0.0,0.0,218.0,190.0,3.0,0.49,8.73,0.22,0.92,78.346,26.0,False,,,1,
41,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,6.6,1.0,1.0,0.0,134.0,196.0,6.0,0.25,7.51,-0.06,0.85,78.761,27.0,False,,,1,
42,1,Sri Lanka,Scotland,50710,399259,Kumar Sangakkara,Tillakaratne Dilshan,Alasdair Evans,n,7.1,4.0,4.0,0.0,329.0,266.0,3.0,0.28,7.17,0.92,0.77,81.422,31.0,False,,,1,
43,1,Sri Lanka,Scotland,50710,399259,Kumar Sangakkara,Tillakaratne Dilshan,Alasdair Evans,n,7.2,0.0,0.0,0.0,219.0,146.0,2.0,-0.17,8.19,0.25,1.01,83.898,31.0,False,,,1,
44,1,Sri Lanka,Scotland,50710,399259,Kumar Sangakkara,Tillakaratne Dilshan,Alasdair Evans,n,7.3,0.0,0.0,0.0,218.0,183.0,3.0,-0.03,6.94,0.36,0.83,82.415,31.0,False,,,1,
45,1,Sri Lanka,Scotland,50710,399259,Kumar Sangakkara,Tillakaratne Dilshan,Alasdair Evans,n,7.4,1.0,1.0,0.0,188.0,240.0,4.0,-0.11,3.82,0.06,0.43,82.618,32.0,False,,,0,
46,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Kumar Sangakkara,Alasdair Evans,y,7.5,0.0,0.0,0.0,144.0,236.0,5.0,-0.32,5.15,-0.18,0.65,82.428,32.0,False,,,1,
47,1,Sri Lanka,Scotland,48472,399259,Tillakaratne Dilshan,Kumar Sangakkara,Alasdair Evans,y,7.6,0.0,0.0,0.0,129.0,151.0,7.0,-0.37,7.58,-0.28,0.76,83.161,32.0,False,,,1,
48,1,Sri Lanka,Scotland,50710,353431,Kumar Sangakkara,Tillakaratne Dilshan,Rob Taylor,n,8.1,0.0,0.0,0.0,233.0,196.0,3.0,0.29,6.33,0.11,0.72,79.066,32.0,False,,,1,
