,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.82,8.23,-0.75,0.83,78.048,0.0,False,,,1,,and battle commences with a gentle length delivery outside off which is left well alone by Guptill
1,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,8.18,-0.51,0.97,80.588,0.0,False,,,1,,gets good carry into the batsman this time from outside off on the same length. Guptill not willing to engage though
2,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.3,0.0,1.0,1.0,0.0,0.0,0.0,-0.85,6.38,-1.03,0.70,80.802,1.0,False,,,1,Wd,well wide outside off as he looks for the outswinger
3,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.3,0.0,0.0,0.0,179.0,198.0,5.0,-0.42,7.44,-0.13,0.72,78.976,1.0,False,,,1,,gets this to swing in from outside off as Guptill gets solidly behind the line
4,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.4,0.0,0.0,0.0,122.0,193.0,6.0,-0.34,7.42,0.03,0.82,80.193,1.0,False,,,1,,delivers a fuller length now on middle and off as this is defended away with soft hands
5,1,New Zealand,Sri Lanka,226492,49535,Martin Guptill,Brendon McCullum,Nuwan Kulasekara,y,0.5,0.0,1.0,1.0,231.0,129.0,2.0,-0.26,8.26,0.32,0.88,80.072,2.0,False,,,0,Lb,slipping down leg as Guptill just about gets this away on the leg side. Ruled leg bye by the umpire
6,1,New Zealand,Sri Lanka,37737,49535,Brendon McCullum,Martin Guptill,Nuwan Kulasekara,y,0.6,4.0,4.0,0.0,7.0,201.0,6.0,-0.80,5.16,-0.76,0.55,81.357,6.0,False,,,1,,New Zealand on their way with a lofted bludgeon through the covers to this fuller length outside off. Was able to bend his knee slightly to get this to the extra-cover boundary in a hurry
7,1,New Zealand,Sri Lanka,226492,49758,Martin Guptill,Brendon McCullum,Lasith Malinga,y,1.1,2.0,2.0,0.0,294.0,133.0,2.0,0.15,9.01,0.11,1.02,82.164,8.0,False,,,1,,begins with a leg-side delivery which is glanced behind square as Guptill finally gets off the mark
8,1,New Zealand,Sri Lanka,226492,49758,Martin Guptill,Brendon McCullum,Lasith Malinga,y,1.2,0.0,0.0,0.0,128.0,202.0,6.0,-0.27,9.11,-0.34,0.98,81.849,8.0,False,,,1,,solidly behind the line of this length delivery outside off as this is defended to the off side
9,1,New Zealand,Sri Lanka,226492,49758,Martin Guptill,Brendon McCullum,Lasith Malinga,y,1.3,0.0,0.0,0.0,117.0,207.0,6.0,-0.42,9.46,-0.76,1.26,81.541,8.0,False,,,1,,back of a length and shaping away as this is punched away through the covers on the up
10,1,New Zealand,Sri Lanka,226492,49758,Martin Guptill,Brendon McCullum,Lasith Malinga,y,1.4,3.0,3.0,0.0,317.0,261.0,3.0,-0.04,9.25,-0.01,0.88,82.644,11.0,False,,,1,,"once again strays on the leg side as all Guptill has to do is clip this through midwicket, with the ball easing up in the deep"
