,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,England,Sri Lanka,8917,49758,Moeen Ali,Ian Bell,Lasith Malinga,n,0.1,0.0,0.0,0.0,202.0,224.0,4.0,0.15,5.83,0.13,0.60,82.198,0.0,False,,,0,
1,1,England,Sri Lanka,8917,49758,Moeen Ali,Ian Bell,Lasith Malinga,n,0.2,0.0,0.0,0.0,146.0,224.0,5.0,0.03,1.44,0.03,0.20,83.698,0.0,False,,,1,
2,1,England,Sri Lanka,8917,49758,Moeen Ali,Ian Bell,Lasith Malinga,n,0.3,1.0,1.0,0.0,85.0,195.0,6.0,0.04,9.59,-0.11,1.03,82.598,1.0,False,,,1,
3,1,England,Sri Lanka,9062,49758,Ian Bell,Moeen Ali,Lasith Malinga,y,0.4,0.0,0.0,0.0,140.0,193.0,6.0,-0.06,5.01,-0.21,0.62,80.853,1.0,False,,,1,
4,1,England,Sri Lanka,9062,49758,Ian Bell,Moeen Ali,Lasith Malinga,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,9.17,-0.67,1.24,80.377,1.0,False,,,1,
5,1,England,Sri Lanka,9062,49758,Ian Bell,Moeen Ali,Lasith Malinga,y,0.6,0.0,0.0,0.0,151.0,180.0,6.0,0.03,10.43,-0.17,1.11,82.687,1.0,False,,,1,
6,1,England,Sri Lanka,8917,49619,Moeen Ali,Ian Bell,Suranga Lakmal,n,1.1,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,2.0,False,,,0,Wd
7,1,England,Sri Lanka,8917,49619,Moeen Ali,Ian Bell,Suranga Lakmal,n,1.1,4.0,4.0,0.0,336.0,266.0,3.0,0.25,5.91,0.32,0.62,85.098,6.0,False,,,1,
8,1,England,Sri Lanka,8917,49619,Moeen Ali,Ian Bell,Suranga Lakmal,n,1.2,4.0,4.0,0.0,137.0,352.0,5.0,-0.01,4.84,0.01,0.42,82.798,10.0,False,,,1,
9,1,England,Sri Lanka,8917,49619,Moeen Ali,Ian Bell,Suranga Lakmal,n,1.3,0.0,0.0,0.0,145.0,221.0,5.0,-0.05,7.31,-0.05,0.91,83.698,10.0,False,,,1,
