,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,0.1,0.0,0.0,0.0,234.0,195.0,3.0,-0.26,8.52,0.12,1.04,87.981,0.0,False,,,1,,"back of a length, angling in and cramping Smith, who squeezes it towards short midwicket"
1,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,0.2,0.0,0.0,0.0,245.0,184.0,3.0,-0.46,10.15,0.03,1.27,88.352,0.0,False,,,0,,"shortish ball, skids through and is onto Smith too quick to pull. Hits high up on the bat, on the sticker, and rolls to Rahane at square leg"
2,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,0.3,4.0,4.0,0.0,34.0,87.0,7.0,-0.63,8.58,-0.68,0.99,88.668,4.0,False,,,1,,"short and wide and Smith cuts that away fiercely, rolling his wrists over and finding the gap to the left of backward point"
3,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,0.4,1.0,1.0,0.0,307.0,87.0,2.0,0.03,5.44,0.30,0.60,88.183,5.0,False,,,1,,now he bowls one on the pads and Smith clips it away to long leg
4,1,West Indies,India,51880,481896,Chris Gayle,Dwayne Smith,Mohammed Shami,n,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,9.19,0.26,1.14,89.215,5.0,False,,,0,,"beauty. Back of a length, angling across and passing Gayle very close to off stump. Goes back and across to defend but that quickly slips past his outside edge, squaring him up. Ooh, what happened there, Snicko shows a mild deviation but no one had appealed"
5,1,West Indies,India,51880,481896,Chris Gayle,Dwayne Smith,Mohammed Shami,n,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,7.97,0.51,1.20,87.918,5.0,False,,,1,,this one's a little wider and Gayle deliberately plays inside the line to leave it
6,1,West Indies,India,53118,376116,Dwayne Smith,Chris Gayle,Umesh Yadav,y,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,6.51,-0.45,0.81,87.473,5.0,False,,,1,,"fullish, fifth-stump line, left alone. Just a hint of away swing on that one"
7,1,West Indies,India,53118,376116,Dwayne Smith,Chris Gayle,Umesh Yadav,y,1.2,0.0,0.0,0.0,213.0,243.0,4.0,-0.27,8.84,-0.33,1.16,87.597,5.0,False,,,0,,"not short enough to pull, and it's swinging away and he has to fetch it from quite a distance outside off. Pops it up in the air, drops down safely short of mid-on"
8,1,West Indies,India,53118,376116,Dwayne Smith,Chris Gayle,Umesh Yadav,y,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,8.71,-0.71,1.19,88.194,5.0,False,,,0,,"short and wide, and Smith flays at it, away from his body, leaves him and beats his outside edge"
9,1,West Indies,India,53118,376116,Dwayne Smith,Chris Gayle,Umesh Yadav,y,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,7.65,-0.40,1.02,87.132,5.0,False,,,1,,"good ball, closer to off stump and a little fuller. Smith leaves it alone"
10,1,West Indies,India,53118,376116,Dwayne Smith,Chris Gayle,Umesh Yadav,y,1.5,1.0,1.0,0.0,117.0,40.0,8.0,-0.25,8.10,-0.32,1.08,88.189,6.0,False,,,1,,"back of a length outside off, dabbed away to third man"
11,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,1.6,0.0,0.0,0.0,195.0,201.0,4.0,-0.06,9.59,0.05,1.37,89.670,6.0,False,,,1,,"back of a length, straightens into Gayle, and he rises to his toes and defends back to the bowler"
12,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.1,0.0,0.0,0.0,113.0,186.0,6.0,-0.48,7.12,-0.35,0.91,89.948,6.0,False,,,1,,"length ball, a bit of width outside off, slapped hard but too close to Rohit at cover point"
13,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.2,0.0,0.0,0.0,253.0,171.0,3.0,-0.25,8.61,0.04,0.97,89.905,6.0,False,,,1,,"back of a length, angling into middle stump, shuffles across and works that to square leg"
14,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,9.49,0.18,1.22,87.546,6.0,False,,,0,,that's painful. It's just a touch short again and again it's too quick to pull. It hurries through at an angle and smacks him in the stomach
15,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,8.51,0.37,1.18,89.445,6.0,False,,,0,,"and again he goes for a pull off a not-quite-short enough ball, and it pops off his thigh pad to the left of Dhoni"
16,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.5,0.0,0.0,0.0,227.0,196.0,3.0,-0.35,7.98,0.09,1.06,89.829,6.0,False,,,1,,"back of a length, a bit of swing in towards middle stump, tucked away to square leg"
17,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,2.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,8.74,0.05,1.03,88.930,6.0,False,,,0,,"this is strange from Smith. Skips down the pitch now, looking to make room and flay that through the off side. Swings in, beats his inside edge, and bounces over the stumps through to the keeper"
18,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.1,0.0,0.0,0.0,154.0,236.0,5.0,-0.11,7.31,-0.03,0.88,89.550,6.0,False,,,1,,"back of a length on middle and off, blocked into the on side"
19,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,8.47,0.34,1.28,89.403,6.0,False,,,0,,"the previous one straightened a bit, this one went with the angle outside off and Gayle was in a horrendous position, to the leg side of the ball and bringing his bat down at an angle. Partly beaten, partly left alone"
20,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,6.62,0.61,0.85,90.015,6.0,False,,,1,,"a little wider now, easier leave for Gayle"
21,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,8.30,0.32,1.05,91.450,6.0,False,,,1,,"he's attacking that channel very well, and again Gayle withdraws his bat inside the line to make the leave"
22,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,7.27,0.24,0.91,90.667,6.0,False,,,0,,"this time he's genuinely beaten. It was a little fuller, a little closer to off, and he went back and across to defend it and it left him just a touch after pitching, exaggerating the angle away from him"
23,1,West Indies,India,51880,376116,Chris Gayle,Dwayne Smith,Umesh Yadav,n,3.6,0.0,0.0,0.0,129.0,122.0,7.0,-0.40,11.07,-0.06,1.66,87.631,6.0,False,,,1,,"short now, into the ribcage, and that is excellent fielding from Rahane. Gayle rises to swat away a controlled pull and Rahane, at backward square leg, dives to his right and comes up with the ball in his hands"
24,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,4.1,0.0,2.0,2.0,235.0,37.0,1.0,-0.17,8.43,0.43,1.08,89.688,8.0,False,,,0,Lb,"slides down the leg side now, back of a length. Smith looks to move across and play the glace, misses and it hits his thigh pad and rolls away towards long leg"
25,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,4.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,7.71,-0.64,0.93,88.688,8.0,False,,,0,,"length ball outside off, left alone"
26,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,4.3,0.0,0.0,0.0,226.0,183.0,3.0,-0.36,8.56,0.20,1.07,89.689,8.0,False,,,0,,"back of a length, swinging in towards middle stump and tucking Smith up for room. He doubles up and blocks it uncomfortably into the on side"
27,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,4.4,0.0,0.0,0.0,223.0,221.0,4.0,-0.36,9.04,0.03,1.33,87.572,8.0,False,,,1,,"back of a length on off stump, hops across and works that to the right of mid-on"
28,1,West Indies,India,53118,481896,Dwayne Smith,Chris Gayle,Mohammed Shami,y,4.5,0.0,0.0,0.0,177.0,109.0,8.0,-0.53,8.17,-0.39,0.92,90.390,8.0,True,caught,53118,0,,"gone! Too close to cut, and he stayed inside the line and poked at it with an angled bat. Came in off the pitch, and a thin but easily discernible edge through to Dhoni"
29,1,West Indies,India,52983,481896,Marlon Samuels,Chris Gayle,Mohammed Shami,y,4.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,11.55,-0.32,1.88,85.912,8.0,False,,,1,,"banged in short outside off, Samuels drops his gloves out of the way to let it go, and it's back-to-back-to-back maidens"
30,1,West Indies,India,51880,376116,Chris Gayle,Marlon Samuels,Umesh Yadav,n,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,7.10,0.53,0.83,90.009,8.0,False,,,0,,"fullish outside off, angling away. Gayle tucks his bat behind his pad and leaves it alone"
31,1,West Indies,India,51880,376116,Chris Gayle,Marlon Samuels,Umesh Yadav,n,5.2,1.0,1.0,0.0,69.0,113.0,7.0,-0.26,9.77,-0.18,1.34,86.776,9.0,False,,,1,,"back of a length, too straight, tucked off the hips through square leg. First runs off the bat in a loooong time."
32,1,West Indies,India,52983,376116,Marlon Samuels,Chris Gayle,Umesh Yadav,y,5.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,5.72,-0.50,0.70,90.963,9.0,False,,,1,,"full outside off. Samuels' front foot is absolutely static, and he simply stands there and leaves it alone"
33,1,West Indies,India,52983,376116,Marlon Samuels,Chris Gayle,Umesh Yadav,y,5.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,6.12,-0.47,0.69,89.731,9.0,False,,,1,,"once again, it's pretty full outside off, and Samuels leaves without moving his feet"
