,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,Sri Lanka,Bangladesh,301236,56007,Lahiru Thirimanne,Tillakaratne Dilshan,Mashrafe Mortaza,n,0.1,0.0,0.0,0.0,140.0,209.0,5.0,-0.20,5.68,0.08,0.75,81.650,0.0,False,,,1,
1,1,Sri Lanka,Bangladesh,301236,56007,Lahiru Thirimanne,Tillakaratne Dilshan,Mashrafe Mortaza,n,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,8.59,-0.21,0.77,80.898,0.0,False,,,0,
2,1,Sri Lanka,Bangladesh,301236,56007,Lahiru Thirimanne,Tillakaratne Dilshan,Mashrafe Mortaza,n,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,False,,,0,
3,1,Sri Lanka,Bangladesh,301236,56007,Lahiru Thirimanne,Tillakaratne Dilshan,Mashrafe Mortaza,n,0.4,0.0,0.0,0.0,201.0,108.0,1.0,0.08,6.33,0.63,0.78,78.974,0.0,False,,,0,
4,1,Sri Lanka,Bangladesh,301236,56007,Lahiru Thirimanne,Tillakaratne Dilshan,Mashrafe Mortaza,n,0.5,1.0,1.0,0.0,301.0,90.0,2.0,-0.16,7.29,0.28,0.81,81.907,1.0,False,,,1,
5,1,Sri Lanka,Bangladesh,48472,56007,Tillakaratne Dilshan,Lahiru Thirimanne,Mashrafe Mortaza,y,0.6,0.0,0.0,0.0,149.0,198.0,5.0,-0.42,8.05,-0.02,0.96,82.020,1.0,False,,,1,
6,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.33,7.85,-0.33,0.86,86.598,2.0,False,,,0,Wd
7,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.1,0.0,0.0,0.0,141.0,174.0,6.0,-0.16,7.04,-0.06,1.10,78.398,2.0,False,,,0,
8,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.2,0.0,1.0,1.0,0.0,0.0,0.0,-0.53,8.42,-0.73,1.18,79.998,3.0,False,,,1,Wd
9,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.2,0.0,0.0,0.0,152.0,243.0,5.0,-0.15,7.63,-0.05,0.80,85.193,3.0,False,,,1,
10,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.3,0.0,0.0,0.0,135.0,187.0,6.0,-0.13,8.16,-0.01,0.87,84.988,3.0,False,,,1,
11,1,Sri Lanka,Bangladesh,301236,300619,Lahiru Thirimanne,Tillakaratne Dilshan,Rubel Hossain,n,1.4,0.0,0.0,0.0,230.0,189.0,3.0,-0.18,8.33,0.23,0.77,86.098,3.0,False,,,1,
