,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.1,4.0,4.0,0.0,209.0,355.0,4.0,-0.06,5.67,-0.06,0.64,87.074,4.0,False,,,1,
1,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,6.63,-0.59,0.76,85.895,4.0,False,,,1,
2,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.3,0.0,0.0,0.0,235.0,175.0,3.0,0.19,4.01,0.30,0.51,81.285,4.0,False,,,0,
3,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.4,0.0,0.0,0.0,148.0,211.0,5.0,-0.18,5.74,-0.17,0.72,84.692,4.0,False,,,1,
4,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.5,0.0,0.0,0.0,116.0,194.0,6.0,-0.35,7.89,-0.33,0.99,84.552,4.0,False,,,1,
5,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,0.6,0.0,1.0,1.0,240.0,73.0,1.0,-0.17,7.74,0.23,0.81,85.235,5.0,False,,,0,Lb
6,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,1.1,0.0,0.0,0.0,134.0,236.0,5.0,-0.24,4.86,-0.25,0.68,82.980,5.0,False,,,1,
7,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,1.2,0.0,0.0,0.0,133.0,195.0,6.0,-0.31,6.61,-0.24,0.92,80.527,5.0,False,,,1,
8,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,1.3,0.0,0.0,0.0,116.0,156.0,7.0,-0.67,8.78,-0.57,1.21,82.849,5.0,False,,,0,
9,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,1.4,1.0,1.0,0.0,129.0,191.0,6.0,-0.42,6.37,-0.24,0.79,83.455,6.0,False,,,1,
10,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,1.5,1.0,1.0,0.0,139.0,204.0,6.0,-0.21,7.06,-0.11,0.94,83.748,7.0,False,,,1,
11,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,1.6,1.0,1.0,0.0,89.0,57.0,8.0,-0.67,5.61,-0.69,0.76,82.323,8.0,False,,,0,
12,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.1,4.0,4.0,0.0,130.0,350.0,5.0,-0.21,4.16,-0.14,0.50,85.393,12.0,False,,,1,
13,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.2,4.0,4.0,0.0,216.0,357.0,4.0,-0.19,5.92,-0.07,0.64,89.730,16.0,False,,,1,
14,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.3,0.0,0.0,0.0,128.0,181.0,6.0,-0.34,6.90,-0.19,0.81,85.370,16.0,False,,,1,
15,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.4,0.0,0.0,0.0,218.0,199.0,3.0,-0.36,9.32,-0.03,1.17,85.112,16.0,False,,,1,
16,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.5,0.0,0.0,0.0,146.0,214.0,5.0,-0.31,6.34,-0.17,0.65,86.089,16.0,False,,,1,
17,1,New Zealand,West Indies,226492,53191,Martin Guptill,Brendon McCullum,Jerome Taylor,y,2.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,7.59,-0.45,0.82,86.473,16.0,False,,,1,
18,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,3.1,0.0,0.0,0.0,155.0,230.0,5.0,-0.36,7.77,-0.04,0.84,85.194,16.0,False,,,1,
19,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,3.2,0.0,0.0,0.0,226.0,240.0,4.0,-0.39,7.94,-0.05,1.02,83.900,16.0,False,,,0,
20,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,3.3,4.0,4.0,0.0,301.0,53.0,2.0,-0.09,6.63,0.28,0.80,81.129,20.0,False,,,1,
21,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,3.4,6.0,6.0,0.0,349.0,98.0,2.0,-0.49,10.90,0.08,1.61,77.918,26.0,False,,,1,
22,1,New Zealand,West Indies,37737,391485,Brendon McCullum,Martin Guptill,Jason Holder,y,3.5,1.0,1.0,0.0,235.0,211.0,3.0,-0.24,7.36,0.09,0.89,84.923,27.0,False,,,1,
23,1,New Zealand,West Indies,226492,391485,Martin Guptill,Brendon McCullum,Jason Holder,y,3.6,0.0,0.0,0.0,172.0,176.0,5.0,-0.35,8.76,0.11,1.21,83.334,27.0,False,,,1,
