,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,6.89,-0.55,0.79,83.354,0.0,False,,,1,,"Southee gets some swing and seam first ball. Starts to swing outside off, pitches and leaves him more. Left alone by Bell"
1,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,8.26,-0.60,0.98,84.108,0.0,False,,,1,,another full outswinger and left alone again by Bell
2,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.3,0.0,1.0,1.0,0.0,0.0,0.0,-0.54,7.85,-0.94,1.01,82.285,1.0,False,,,1,Wd,more movement away. Left alone. That's a little stiff to call it wide. Pitched half way between the stumps and that tram line. Moved away after he had left alone. And hardly went over the tram line. Poor call
3,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.3,0.0,0.0,0.0,156.0,133.0,8.0,-0.28,7.00,-0.37,0.80,85.009,1.0,False,,,0,,"<b>edged</b> as he follows the movement with the hands, but plays it with soft hands and makes sure it doesn't carry to the slips"
4,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,6.95,-0.52,0.82,82.000,1.0,False,,,1,,this time it moves away after angling in from wide on the crease. Left alone
5,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,8.07,-0.54,0.99,82.578,1.0,False,,,1,,more movement away from the bat and another leave. A maiden should have been over by now but for poor umpiring by Paul Reifell
6,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,8.09,-0.25,0.89,85.322,1.0,False,,,1,,"wide on the crease, angling in, seeing if Bell will play at this. He won't. Lets it pass harmlessly outside off"
7,1,England,New Zealand,8917,277912,Moeen Ali,Ian Bell,Trent Boult,n,1.1,0.0,0.0,0.0,205.0,187.0,3.0,0.25,8.30,0.17,1.25,83.418,1.0,False,,,1,,"on a length, on off, defended from the crease by Moeen"
8,1,England,New Zealand,8917,277912,Moeen Ali,Ian Bell,Trent Boult,n,1.2,1.0,1.0,0.0,238.0,157.0,2.0,0.42,9.36,0.23,1.27,81.398,2.0,False,,,1,,"short of a length, outside off, Moeen goes back, drops this at his feet, gets a single"
9,1,England,New Zealand,9062,277912,Ian Bell,Moeen Ali,Trent Boult,y,1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,7.38,-0.36,0.80,85.997,2.0,False,,,1,,no swing for Boult as a length ball angles across Bell. Left alone
10,1,England,New Zealand,9062,277912,Ian Bell,Moeen Ali,Trent Boult,y,1.4,1.0,1.0,0.0,244.0,42.0,1.0,0.12,6.82,0.04,0.65,87.182,3.0,False,,,0,,"on the pads, clipped away off the inside half of the bat for one"
11,1,England,New Zealand,8917,277912,Moeen Ali,Ian Bell,Trent Boult,n,1.5,1.0,1.0,0.0,256.0,227.0,3.0,0.30,5.56,0.28,0.63,85.721,4.0,False,,,1,,"there is the flying Baz. A length ball, slight swing, driven through extra cover, but then Baz rushes form mid0off and presses the propel button at the last minutes to keep them down to on"
12,1,England,New Zealand,9062,277912,Ian Bell,Moeen Ali,Trent Boult,y,1.6,0.0,0.0,0.0,212.0,175.0,3.0,0.16,8.25,-0.04,0.93,82.200,4.0,False,,,1,,"slightly short of a length, defended to leg"
13,1,England,New Zealand,8917,232364,Moeen Ali,Ian Bell,Tim Southee,n,2.1,0.0,1.0,1.0,109.0,77.0,8.0,-0.09,8.03,-0.18,0.90,85.412,5.0,False,,,0,Lb,tucked away off the pads for a single to long leg
14,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,2.2,0.0,0.0,0.0,238.0,210.0,3.0,-0.27,6.11,-0.30,0.73,86.167,5.0,False,,,0,,more swing from Southee. Bell overcompenstes for it as he defends. It runs off the inside half of the bat to midwicket
15,1,England,New Zealand,9062,232364,Ian Bell,Moeen Ali,Tim Southee,y,2.3,1.0,1.0,0.0,174.0,307.0,5.0,-0.23,5.49,-0.13,0.62,85.583,6.0,False,,,1,,"a touch overpitched this time, and he is driven straight of mid-off for two"
16,1,England,New Zealand,8917,232364,Moeen Ali,Ian Bell,Tim Southee,n,2.4,0.0,1.0,1.0,0.0,0.0,0.0,-0.33,11.43,-0.42,1.65,81.833,7.0,False,,,1,Wd,"looks for the bouncer, loses his line, and is wided down leg"
