,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,Afghanistan,New Zealand,308235,232364,Javed Ahmadi,Usman Ghani,Tim Southee,y,0.1,0.0,0.0,0.0,180.0,146.0,8.0,-0.40,6.14,-0.50,0.67,81.881,0.0,False,,,0,
1,1,Afghanistan,New Zealand,308235,232364,Javed Ahmadi,Usman Ghani,Tim Southee,y,0.2,0.0,4.0,4.0,225.0,8.0,1.0,0.16,3.91,0.35,0.41,82.213,4.0,False,,,0,Lb
2,1,Afghanistan,New Zealand,308235,232364,Javed Ahmadi,Usman Ghani,Tim Southee,y,0.3,0.0,0.0,0.0,162.0,238.0,5.0,-0.10,4.68,-0.07,0.55,80.896,4.0,False,,,1,
3,1,Afghanistan,New Zealand,308235,232364,Javed Ahmadi,Usman Ghani,Tim Southee,y,0.4,1.0,1.0,0.0,47.0,133.0,7.0,-0.35,4.37,-0.39,0.53,83.742,5.0,False,,,1,
4,1,Afghanistan,New Zealand,711559,232364,Usman Ghani,Javed Ahmadi,Tim Southee,y,0.5,0.0,0.0,0.0,167.0,217.0,5.0,-0.29,6.25,-0.20,0.70,85.714,5.0,False,,,1,
5,1,Afghanistan,New Zealand,711559,232364,Usman Ghani,Javed Ahmadi,Tim Southee,y,0.6,0.0,0.0,0.0,229.0,229.0,4.0,-0.08,3.99,0.08,0.47,82.357,5.0,False,,,1,
6,1,Afghanistan,New Zealand,308235,277912,Javed Ahmadi,Usman Ghani,Trent Boult,y,1.1,0.0,0.0,0.0,117.0,190.0,6.0,-0.16,9.66,-0.73,1.13,75.923,5.0,False,,,1,
7,1,Afghanistan,New Zealand,308235,277912,Javed Ahmadi,Usman Ghani,Trent Boult,y,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.10,7.27,-0.48,0.79,79.980,5.0,False,,,0,
8,1,Afghanistan,New Zealand,308235,277912,Javed Ahmadi,Usman Ghani,Trent Boult,y,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05,6.21,0.07,0.73,81.662,5.0,True,leg before wicket,308235,0,
9,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Usman Ghani,Trent Boult,y,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.20,6.94,0.36,0.77,79.966,6.0,False,,,0,Wd
10,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Usman Ghani,Trent Boult,y,1.4,0.0,0.0,0.0,236.0,189.0,3.0,-0.02,1.29,0.01,0.21,80.729,6.0,False,,,1,
11,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Usman Ghani,Trent Boult,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,5.86,-0.92,0.68,83.308,6.0,False,,,1,
12,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Usman Ghani,Trent Boult,y,1.6,0.0,0.0,0.0,158.0,193.0,5.0,-0.04,5.85,-0.03,0.64,82.746,6.0,False,,,1,
13,1,Afghanistan,New Zealand,711559,38710,Usman Ghani,Nawroz Mangal,Daniel Vettori,y,2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,4.31,-0.10,0.61,58.491,6.0,True,bowled,711559,0,
14,1,Afghanistan,New Zealand,320652,38710,Asghar Stanikzai,Nawroz Mangal,Daniel Vettori,y,2.2,0.0,0.0,0.0,185.0,199.0,4.0,-0.12,3.87,-0.08,0.40,-2.237,6.0,False,,,1,
15,1,Afghanistan,New Zealand,320652,38710,Asghar Stanikzai,Nawroz Mangal,Daniel Vettori,y,2.3,0.0,0.0,0.0,192.0,196.0,4.0,-0.06,3.63,-0.11,0.56,59.799,6.0,False,,,1,
16,1,Afghanistan,New Zealand,320652,38710,Asghar Stanikzai,Nawroz Mangal,Daniel Vettori,y,2.4,0.0,0.0,0.0,109.0,151.0,7.0,-0.41,5.27,-0.30,0.70,-2.237,6.0,False,,,1,
17,1,Afghanistan,New Zealand,320652,38710,Asghar Stanikzai,Nawroz Mangal,Daniel Vettori,y,2.5,0.0,0.0,0.0,148.0,191.0,6.0,0.16,3.81,0.13,0.73,-2.237,6.0,False,,,1,
18,1,Afghanistan,New Zealand,320652,38710,Asghar Stanikzai,Nawroz Mangal,Daniel Vettori,y,2.6,0.0,0.0,0.0,200.0,196.0,4.0,-0.13,4.75,-0.06,0.89,51.530,6.0,False,,,1,
19,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,3.1,1.0,1.0,0.0,117.0,198.0,6.0,-0.04,3.58,-0.09,0.48,81.605,7.0,False,,,1,
20,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,6.59,0.16,0.87,80.844,7.0,False,,,0,
21,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,8.20,0.10,1.07,82.653,7.0,False,,,0,
22,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,3.4,0.0,0.0,0.0,112.0,194.0,6.0,-0.67,6.43,-0.90,0.76,81.518,7.0,False,,,1,
23,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.51,0.22,0.24,83.655,7.0,False,,,0,
24,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,3.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,1.80,-0.70,0.25,80.969,7.0,False,,,0,
25,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.1,0.0,0.0,0.0,200.0,193.0,4.0,-0.16,5.93,-0.27,0.75,81.451,7.0,False,,,1,
26,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.2,0.0,0.0,0.0,161.0,223.0,5.0,-0.22,4.43,-0.40,0.50,88.079,7.0,False,,,1,
27,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.56,-0.56,1.27,86.431,7.0,False,,,1,
28,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.4,0.0,0.0,0.0,117.0,157.0,7.0,-0.14,6.69,-0.41,0.71,86.832,7.0,False,,,1,
29,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.00,7.19,-0.35,0.79,89.633,7.0,False,,,0,
30,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,4.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,7.49,-0.25,0.95,87.444,7.0,False,,,1,
31,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,5.1,4.0,4.0,0.0,145.0,8.0,8.0,-0.25,11.48,-0.07,1.82,79.655,11.0,False,,,0,
32,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,5.2,1.0,1.0,0.0,286.0,72.0,2.0,-0.17,6.39,0.13,0.76,87.527,12.0,False,,,1,
33,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,5.3,1.0,1.0,0.0,74.0,99.0,7.0,-0.45,8.57,-0.34,1.02,86.316,13.0,False,,,1,
34,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,5.4,0.0,0.0,0.0,148.0,216.0,5.0,-0.27,6.89,-0.04,0.91,85.150,13.0,False,,,1,
35,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,5.5,4.0,4.0,0.0,351.0,220.0,3.0,-0.39,10.65,-0.11,1.54,84.095,17.0,False,,,1,
36,1,Afghanistan,New Zealand,320652,232364,Asghar Stanikzai,Nawroz Mangal,Tim Southee,y,5.6,0.0,0.0,0.0,159.0,223.0,5.0,-0.35,6.36,-0.17,0.78,80.617,17.0,False,,,1,
37,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,6.1,4.0,4.0,0.0,59.0,55.0,7.0,-0.03,8.69,-0.49,1.08,80.406,21.0,False,,,1,
38,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,6.2,0.0,0.0,0.0,108.0,151.0,7.0,0.14,8.00,-0.16,0.81,89.499,21.0,False,,,1,
39,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,6.3,0.0,0.0,0.0,105.0,194.0,6.0,-0.49,-0.00,-0.49,-0.00,88.409,21.0,False,,,1,
40,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,6.4,0.0,0.0,0.0,170.0,208.0,5.0,-0.22,5.19,-0.49,0.60,86.474,21.0,False,,,1,
41,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Asghar Stanikzai,Trent Boult,y,6.5,1.0,1.0,0.0,293.0,189.0,3.0,-0.34,6.61,0.03,0.73,85.433,22.0,False,,,1,
42,1,Afghanistan,New Zealand,320652,277912,Asghar Stanikzai,Nawroz Mangal,Trent Boult,y,6.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,8.28,0.00,0.99,85.900,22.0,False,,,0,
43,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.1,2.0,2.0,0.0,53.0,185.0,6.0,-0.45,6.25,-0.46,0.81,85.321,24.0,False,,,1,
44,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.2,0.0,0.0,0.0,200.0,213.0,4.0,-0.33,7.20,-0.15,0.81,80.091,24.0,False,,,1,
45,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.3,0.0,0.0,0.0,197.0,243.0,4.0,-0.37,6.11,-0.25,0.78,79.678,24.0,False,,,1,
46,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.4,0.0,0.0,0.0,134.0,195.0,6.0,-0.44,6.18,-0.20,0.71,81.464,24.0,False,,,1,
47,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.5,0.0,0.0,0.0,119.0,183.0,6.0,-0.41,6.44,-0.33,0.79,81.869,24.0,False,,,1,
48,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Asghar Stanikzai,Tim Southee,y,7.6,0.0,0.0,0.0,172.0,199.0,5.0,0.21,2.83,0.24,0.33,81.976,24.0,False,,,1,
49,1,Afghanistan,New Zealand,320652,277912,Asghar Stanikzai,Nawroz Mangal,Trent Boult,y,8.1,0.0,0.0,0.0,166.0,148.0,8.0,-0.78,11.13,-0.44,1.40,86.044,24.0,False,,,1,
50,1,Afghanistan,New Zealand,320652,277912,Asghar Stanikzai,Nawroz Mangal,Trent Boult,y,8.2,0.0,0.0,0.0,127.0,130.0,7.0,-0.78,11.52,-0.58,1.62,85.347,24.0,True,caught,320652,0,
51,1,Afghanistan,New Zealand,318339,277912,Samiullah Shenwari,Nawroz Mangal,Trent Boult,y,8.3,4.0,4.0,0.0,20.0,112.0,7.0,-0.15,4.32,-0.35,0.45,89.986,28.0,False,,,1,
52,1,Afghanistan,New Zealand,318339,277912,Samiullah Shenwari,Nawroz Mangal,Trent Boult,y,8.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,7.29,-0.52,0.94,89.975,28.0,False,,,0,
53,1,Afghanistan,New Zealand,318339,277912,Samiullah Shenwari,Nawroz Mangal,Trent Boult,y,8.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,6.33,-0.29,0.71,89.938,28.0,False,,,0,
54,1,Afghanistan,New Zealand,318339,277912,Samiullah Shenwari,Nawroz Mangal,Trent Boult,y,8.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.61,8.37,-0.26,1.03,89.920,28.0,False,,,1,
55,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Samiullah Shenwari,Tim Southee,y,9.1,0.0,0.0,0.0,204.0,199.0,4.0,-0.22,6.17,0.01,0.72,83.527,28.0,False,,,1,
56,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Samiullah Shenwari,Tim Southee,y,9.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,7.04,-0.69,0.72,83.561,28.0,False,,,1,
57,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Samiullah Shenwari,Tim Southee,y,9.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,6.30,-0.36,0.69,83.863,28.0,False,,,0,
58,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Samiullah Shenwari,Tim Southee,y,9.4,4.0,4.0,0.0,347.0,124.0,2.0,-0.08,6.79,0.16,0.73,83.091,32.0,False,,,1,
59,1,Afghanistan,New Zealand,318334,232364,Nawroz Mangal,Samiullah Shenwari,Tim Southee,y,9.5,1.0,1.0,0.0,90.0,188.0,6.0,-0.38,5.02,-0.29,0.53,79.767,33.0,False,,,1,
60,1,Afghanistan,New Zealand,318339,232364,Samiullah Shenwari,Nawroz Mangal,Tim Southee,y,9.6,0.0,0.0,0.0,117.0,210.0,6.0,-0.40,6.38,-0.30,0.75,83.471,33.0,False,,,1,
61,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Samiullah Shenwari,Trent Boult,y,10.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,7.94,-0.42,1.05,84.802,33.0,False,,,0,
62,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Samiullah Shenwari,Trent Boult,y,10.2,0.0,0.0,0.0,174.0,201.0,5.0,-0.41,5.38,-0.16,0.59,85.207,33.0,False,,,1,
63,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Samiullah Shenwari,Trent Boult,y,10.3,0.0,0.0,0.0,197.0,203.0,4.0,-0.40,7.23,-0.01,0.88,89.584,33.0,False,,,1,
64,1,Afghanistan,New Zealand,318334,277912,Nawroz Mangal,Samiullah Shenwari,Trent Boult,y,10.4,0.0,1.0,1.0,0.0,0.0,0.0,0.29,13.08,-0.33,2.18,85.026,34.0,False,,,1,Wd
