,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,4.66,-0.26,0.44,83.764,0.0,False,,,1,,"full ball outside off, slight shape, left alone"
1,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.2,4.0,4.0,0.0,135.0,10.0,8.0,-0.50,7.90,-0.44,1.03,85.133,4.0,False,,,0,,"we are rolling already. Short of a length, slight extra bounce on the punch, takes a thick edge for four past second slip"
2,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.3,0.0,0.0,0.0,136.0,140.0,7.0,-0.55,8.61,-0.41,1.04,86.142,4.0,False,,,1,,this time he defends the shortish delivery outside off
3,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.4,0.0,0.0,0.0,146.0,179.0,6.0,-0.53,9.16,-0.52,1.02,85.553,4.0,False,,,1,,"short of a length, wide, punched away, straight to cover"
4,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.5,4.0,4.0,0.0,8.0,163.0,7.0,-0.61,8.77,-0.49,1.28,86.191,8.0,False,,,1,,"asking for trouble. Got away with the two earlier short ones, but this time Amla gets on top of the bounce, and misses the man at cover with this punch shot"
5,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.6,0.0,1.0,1.0,206.0,192.0,4.0,-0.33,8.12,-0.13,0.96,82.690,9.0,False,,,1,Nb,"short of a length, angling in, defended to leg this time, but he has overstepped"
6,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.6,0.0,1.0,1.0,191.0,164.0,2.0,1.03,-8.42,0.55,1.23,83.125,10.0,False,,,0,Nb,ohhhh. That's a nasty nasty beamer. These are the kinds that can end tournaments for batsmen. This is no slower ball or anything. A wild full toss that follows him and gets him on the right wrist. Immediate apology and concern shown by UAE players
7,1,South Africa,United Arab Emirates,43906,533862,Hashim Amla,Quinton de Kock,Mohammad Naveed,y,0.6,0.0,0.0,0.0,165.0,110.0,8.0,-0.23,5.44,-0.10,0.56,86.738,10.0,False,,,0,,"full ball just outside off, Amla swings, gets an edge, is caught at first slip. So a dot ball on the free hit"
8,1,South Africa,United Arab Emirates,379143,623104,Quinton de Kock,Hashim Amla,Kamran Shazad,n,1.1,1.0,1.0,0.0,127.0,151.0,7.0,-0.28,7.44,-0.13,0.73,79.196,11.0,False,,,1,,"length ball, on the pads, worked to leg for one"
9,1,South Africa,United Arab Emirates,43906,623104,Hashim Amla,Quinton de Kock,Kamran Shazad,y,1.2,0.0,0.0,0.0,142.0,224.0,5.0,-0.26,4.95,-0.25,0.54,77.760,11.0,False,,,1,,"wide on the crease, full, outside off, pushed to mid-off"
